Input,Trial,Treatment,time,file,heart_rate,sd,std_err,confidence,start,end
0,Trial9,22C,1/25/24 9:52,input_0_F2_Trial9_22C_20240125_095257.txt,33.713784,0.50587028,0.08806071,Good,442,502
0,Trial9,22C,1/25/24 10:02,input_0_F2_Trial9_22C_20240125_100257.txt,38.0327869,0.23158468,0.04228138,Good,300,348
0,Trial9,22C,1/25/24 10:12,input_0_F2_Trial9_22C_20240125_101258.txt,40,0.35601966,0.06293598,Good,300,348
0,Trial9,22C,1/25/24 10:22,input_0_F2_Trial9_22C_20240125_102258.txt,48.582996,0.4437727,0.09683914,Good,180,206
0,Trial9,22C,1/25/24 10:32,input_0_F2_Trial9_22C_20240125_103258.txt,44.0677966,0.13054987,0.03489092,Good,414,434
0,Trial9,22C,1/25/24 10:42,input_0_F2_Trial9_22C_20240125_104258.txt,40.0417101,0.08978862,0.01563019,Good,416,466
0,Trial9,22C,1/25/24 10:52,input_0_F2_Trial9_22C_20240125_105258.txt,40.8441116,0.11643131,0.02283406,Good,342,380
0,Trial9,22C,1/25/24 11:02,input_0_F2_Trial9_22C_20240125_110258.txt,46.9993683,0.29318193,0.05182773,Good,238,278
0,Trial9,22C,1/25/24 11:12,input_0_F2_Trial9_22C_20240125_111258.txt,52.5641026,0.26964153,0.04160659,Good,230,278
0,Trial9,22C,1/25/24 11:22,input_0_F2_Trial9_22C_20240125_112258.txt,56.967033,0.29037412,0.03915404,Good,198,256
0,Trial9,22C,1/25/24 11:32,input_0_F2_Trial9_22C_20240125_113258.txt,62.745098,0.25468596,0.0326092,Good,184,242
0,Trial9,22C,1/25/24 11:42,input_0_F2_Trial9_22C_20240125_114258.txt,67.4297607,0.32190172,0.04340522,Good,62,112
0,Trial9,22C,1/25/24 11:52,input_0_F2_Trial9_22C_20240125_115259.txt,52.519084,0.48333954,0.07286618,Good,226,276
0,Trial9,22C,1/25/24 12:02,input_0_F2_Trial9_22C_20240125_120259.txt,70.5490849,0.38538475,0.05244422,Good,288,334
0,Trial9,22C,1/25/24 12:12,input_0_F2_Trial9_22C_20240125_121259.txt,75.3926702,0.18217734,0.02049655,Good,138,202
0,Trial9,22C,1/25/24 12:22,input_0_F2_Trial9_22C_20240125_122259.txt,55.8359621,0.19087432,0.02464177,Good,200,264
0,Trial9,22C,1/25/24 12:32,input_0_F2_Trial9_22C_20240125_123259.txt,19.4546794,1.02740848,0.21422948,Good,302,374
0,Trial9,22C,1/25/24 12:42,input_0_F2_Trial9_22C_20240125_124259.txt,15.7377049,0.58474793,0.13415038,Good,302,374
0,Trial9,22C,1/25/24 12:52,input_0_F2_Trial9_22C_20240125_125259.txt,16.4759725,1.30772762,0.36269838,Flatline,534,582
0,Trial9,22C,1/25/24 13:02,input_0_F2_Trial9_22C_20240125_130259.txt,19.1077842,1.14883529,0.08446405,Discard,0,582.075
0,Trial9,22C,1/25/24 13:12,input_0_F2_Trial9_22C_20240125_131259.txt,18.9539099,1.00471243,0.07406838,Discard,0,582.075
1,Trial9,22C,1/25/24 9:52,input_1_F2_Trial9_22C_20240125_095257.txt,47.5812847,0.28967295,0.05680954,Good,450,484
1,Trial9,22C,1/25/24 10:02,input_1_F2_Trial9_22C_20240125_100257.txt,57.3419612,0.25132572,0.03590367,Good,142,194
1,Trial9,22C,1/25/24 10:12,input_1_F2_Trial9_22C_20240125_101258.txt,59.8205384,0.29909046,0.04188104,Good,142,194
1,Trial9,22C,1/25/24 10:22,input_1_F2_Trial9_22C_20240125_102258.txt,61.9970194,0.21700595,0.02980806,Good,194,246
1,Trial9,22C,1/25/24 10:32,input_1_F2_Trial9_22C_20240125_103258.txt,62.170088,0.11032509,0.01501334,Good,194,246
1,Trial9,22C,1/25/24 10:42,input_1_F2_Trial9_22C_20240125_104258.txt,66.8693009,0.05307069,0.00709187,Good,256,306
1,Trial9,22C,1/25/24 10:52,input_1_F2_Trial9_22C_20240125_105258.txt,67.6576115,0.15507275,0.02072247,Good,232,282
1,Trial9,22C,1/25/24 11:02,input_1_F2_Trial9_22C_20240125_110258.txt,76.2685802,0.15382538,0.01938018,Good,232,282
1,Trial9,22C,1/25/24 11:12,input_1_F2_Trial9_22C_20240125_111258.txt,75.8409786,0.09550307,0.01203226,Good,178,228
1,Trial9,22C,1/25/24 11:22,input_1_F2_Trial9_22C_20240125_112258.txt,73.6196319,0.08932111,0.01060047,Good,160,218
1,Trial9,22C,1/25/24 11:32,input_1_F2_Trial9_22C_20240125_113258.txt,77.1266541,0.12530034,0.01508439,Good,376,430
1,Trial9,22C,1/25/24 11:42,input_1_F2_Trial9_22C_20240125_114258.txt,74.8712078,0.24380839,0.02324622,Good,166,254
1,Trial9,22C,1/25/24 11:52,input_1_F2_Trial9_22C_20240125_115259.txt,65.1162791,0.39287485,0.05203755,Good,218,270
1,Trial9,22C,1/25/24 12:02,input_1_F2_Trial9_22C_20240125_120259.txt,66.7328699,0.33224321,0.04400669,Good,56,108
1,Trial9,22C,1/25/24 12:12,input_1_F2_Trial9_22C_20240125_121259.txt,20.5973223,1.94829145,0.38209139,Good,260,348
1,Trial9,22C,1/25/24 12:22,input_1_F2_Trial9_22C_20240125_122259.txt,3.30730363,14.5829595,7.29147976,Good,260,348
1,Trial9,22C,1/25/24 12:32,input_1_F2_Trial9_22C_20240125_123259.txt,13.7457045,4.32019551,1.08004888,Good,260,348
1,Trial9,22C,1/25/24 12:42,input_1_F2_Trial9_22C_20240125_124259.txt,81.8829626,0.24701888,0.01958987,Flatline,392,510
1,Trial9,22C,1/25/24 12:52,input_1_F2_Trial9_22C_20240125_125259.txt,85.1012495,0.23736072,0.00826885,Discard,0,582.075
1,Trial9,22C,1/25/24 13:02,input_1_F2_Trial9_22C_20240125_130259.txt,85.4893525,0.23723854,0.00823963,Discard,0,582.075
1,Trial9,22C,1/25/24 13:12,input_1_F2_Trial9_22C_20240125_131259.txt,85.319561,0.25936569,0.00901903,Discard,0,582.075
2,Trial9,22C,1/25/24 9:52,input_2_F2_Trial9_22C_20240125_095257.txt,48.8078541,0.25869426,0.04723089,Good,436,474
2,Trial9,22C,1/25/24 10:02,input_2_F2_Trial9_22C_20240125_100257.txt,48.5939258,0.2456971,0.04039235,Good,394,440
2,Trial9,22C,1/25/24 10:12,input_2_F2_Trial9_22C_20240125_101258.txt,52.294854,0.24617917,0.0355329,Good,210,266
2,Trial9,22C,1/25/24 10:22,input_2_F2_Trial9_22C_20240125_102258.txt,53.46177,0.18131309,0.02941287,Good,190,234
2,Trial9,22C,1/25/24 10:32,input_2_F2_Trial9_22C_20240125_103258.txt,59.8540146,0.29484132,0.045495,Good,208,250
2,Trial9,22C,1/25/24 10:42,input_2_F2_Trial9_22C_20240125_104258.txt,62.1761658,0.27502319,0.03851095,Good,164,214
2,Trial9,22C,1/25/24 10:52,input_2_F2_Trial9_22C_20240125_105258.txt,64.8967552,0.31912391,0.04264473,Good,212,264
2,Trial9,22C,1/25/24 11:02,input_2_F2_Trial9_22C_20240125_110258.txt,65.9470069,0.29114502,0.0385631,Good,364,416
2,Trial9,22C,1/25/24 11:12,input_2_F2_Trial9_22C_20240125_111258.txt,64,0.23177687,0.03125279,Good,214,266
2,Trial9,22C,1/25/24 11:22,input_2_F2_Trial9_22C_20240125_112258.txt,80.7804878,0.16008393,0.01913369,Good,56,108
2,Trial9,22C,1/25/24 11:32,input_2_F2_Trial9_22C_20240125_113258.txt,69.5139912,0.28255134,0.03647722,Good,168,220
2,Trial9,22C,1/25/24 11:42,input_2_F2_Trial9_22C_20240125_114258.txt,75.0601443,0.18447001,0.02916727,Good,188,220
2,Trial9,22C,1/25/24 11:52,input_2_F2_Trial9_22C_20240125_115259.txt,72.0879121,0.23360249,0.03604565,Good,186,222
2,Trial9,22C,1/25/24 12:02,input_2_F2_Trial9_22C_20240125_120259.txt,65.158371,0.31954644,0.04564949,Good,280,326
