Input,Trial,Treatment,time,file,heart_rate,sd,std_err,confidence,start,end
0,Trial6,27C,1/23/24 12:01,input_0_F2_Trial6_27C_20240123_120150.txt,69.5876289,0.04726083,0.00696823,Good,248,288
0,Trial6,27C,1/23/24 12:11,input_0_F2_Trial6_27C_20240123_121150.txt,78.8151964,0.04281172,0.00593692,Good,314,354
0,Trial6,27C,1/23/24 12:21,input_0_F2_Trial6_27C_20240123_122150.txt,84.2615012,0.03753401,0.00488651,Good,252,294
0,Trial6,27C,1/23/24 12:31,input_0_F2_Trial6_27C_20240123_123150.txt,78.9401553,0.08907385,0.01042531,Good,222,278
0,Trial6,27C,1/23/24 12:41,input_0_F2_Trial6_27C_20240123_124150.txt,82.2099448,0.04976146,0.00626936,Good,438,484
0,Trial6,27C,1/23/24 12:51,input_0_F2_Trial6_27C_20240123_125151.txt,88.4210526,0.053549,0.0063551,Good,276,324
0,Trial6,27C,1/23/24 13:01,input_0_F2_Trial6_27C_20240123_130151.txt,88.3031302,0.10525271,0.01276377,Good,330,376
0,Trial6,27C,1/23/24 13:11,input_0_F2_Trial6_27C_20240123_131151.txt,90.4806786,0.11173085,0.01241454,Good,382,436
0,Trial6,27C,1/23/24 13:21,input_0_F2_Trial6_27C_20240123_132151.txt,94.3820225,0.0978745,0.01108211,Good,330,380
0,Trial6,27C,1/23/24 13:31,input_0_F2_Trial6_27C_20240123_133151.txt,78.5046729,0.30319725,0.04015946,Good,108,152
0,Trial6,27C,1/23/24 13:41,input_0_F2_Trial6_27C_20240123_134151.txt,82.7234043,0.20715686,0.02287665,Good,424,484
0,Trial6,27C,1/23/24 13:51,input_0_F2_Trial6_27C_20240123_135151.txt,80.2305476,0.20839216,0.02713035,Good,150,194
0,Trial6,27C,1/23/24 14:01,input_0_F2_Trial6_27C_20240123_140151.txt,8.22351081,5.93494108,1.58617972,Good,134,240
0,Trial6,27C,1/23/24 14:11,input_0_F2_Trial6_27C_20240123_141151.txt,2.66075388,3.83804964,1.91902482,Good,134,240
0,Trial6,27C,1/23/24 14:21,input_0_F2_Trial6_27C_20240123_142151.txt,49.4328358,0.35276055,0.04216295,Flatline,92,178
0,Trial6,27C,1/23/24 14:31,input_0_F2_Trial6_27C_20240123_143152.txt,45.2400466,0.41377668,0.01977102,Discard,0,582.075
1,Trial6,27C,1/23/24 12:01,input_1_F2_Trial6_27C_20240123_120150.txt,54.1832669,0.25267729,0.04271026,Good,238,278
1,Trial6,27C,1/23/24 12:11,input_1_F2_Trial6_27C_20240123_121150.txt,64.0230714,0.20595489,0.0334103,Good,94,130
1,Trial6,27C,1/23/24 12:21,input_1_F2_Trial6_27C_20240123_122150.txt,64.2583935,0.23005779,0.02875722,Good,256,316
1,Trial6,27C,1/23/24 12:31,input_1_F2_Trial6_27C_20240123_123150.txt,68.4596577,0.15961153,0.02660192,Good,316,348
1,Trial6,27C,1/23/24 12:41,input_1_F2_Trial6_27C_20240123_124150.txt,55.9689062,0.37217236,0.05675575,Good,50,96
1,Trial6,27C,1/23/24 12:51,input_1_F2_Trial6_27C_20240123_125151.txt,58.4865327,0.3000359,0.03939664,Good,226,286
1,Trial6,27C,1/23/24 13:01,input_1_F2_Trial6_27C_20240123_130151.txt,51.3513514,0.24889514,0.03985512,Good,310,356
1,Trial6,27C,1/23/24 13:11,input_1_F2_Trial6_27C_20240123_131151.txt,57.4162679,0.27503099,0.04055111,Unsure,498,546
1,Trial6,27C,1/23/24 13:21,input_1_F2_Trial6_27C_20240123_132151.txt,59.8283613,0.28632362,0.03636314,Unsure,290,352
1,Trial6,27C,1/23/24 13:31,input_1_F2_Trial6_27C_20240123_133151.txt,64.619268,0.23582291,0.02925023,Unsure,290,352
1,Trial6,27C,1/23/24 13:41,input_1_F2_Trial6_27C_20240123_134151.txt,20.4334365,1.34599776,0.28065993,Unsure,168,236
1,Trial6,27C,1/23/24 13:51,input_1_F2_Trial6_27C_20240123_135151.txt,24.940048,1.01747992,0.1958141,Flatline,288,354
1,Trial6,27C,1/23/24 14:01,input_1_F2_Trial6_27C_20240123_140151.txt,27.095273,0.84892592,0.05234702,Discard,0,582.075
1,Trial6,27C,1/23/24 14:11,input_1_F2_Trial6_27C_20240123_141151.txt,30.5633499,0.74923652,0.04354849,Discard,0,582.075
1,Trial6,27C,1/23/24 14:21,input_1_F2_Trial6_27C_20240123_142151.txt,31.9295063,0.66271784,0.0377007,Discard,0,582.075
1,Trial6,27C,1/23/24 14:31,input_1_F2_Trial6_27C_20240123_143152.txt,33.7896783,0.59721912,0.03302629,Discard,0,582.075
2,Trial6,27C,1/23/24 12:01,input_2_F2_Trial6_27C_20240123_120150.txt,46.9273743,0.20229773,0.03371629,Good,56,102
2,Trial6,27C,1/23/24 12:11,input_2_F2_Trial6_27C_20240123_121150.txt,46.9879518,0.21932797,0.0346788,Good,210,262
2,Trial6,27C,1/23/24 12:21,input_2_F2_Trial6_27C_20240123_122150.txt,45.4862843,0.29203585,0.04676316,Good,166,218
2,Trial6,27C,1/23/24 12:31,input_2_F2_Trial6_27C_20240123_123150.txt,48.4460109,0.17114565,0.02139321,Good,170,250
2,Trial6,27C,1/23/24 12:41,input_2_F2_Trial6_27C_20240123_124150.txt,46.7881112,0.11052378,0.01403653,Good,134,214
2,Trial6,27C,1/23/24 12:51,input_2_F2_Trial6_27C_20240123_125151.txt,54.4247788,0.09918494,0.01530457,Good,320,366
2,Trial6,27C,1/23/24 13:01,input_2_F2_Trial6_27C_20240123_130151.txt,57.8143361,0.12625891,0.01948217,Good,138,182
2,Trial6,27C,1/23/24 13:11,input_2_F2_Trial6_27C_20240123_131151.txt,58.7442355,0.18541861,0.02216176,Good,288,360
2,Trial6,27C,1/23/24 13:21,input_2_F2_Trial6_27C_20240123_132151.txt,67.3684211,0.13797717,0.01711396,Good,38,96
2,Trial6,27C,1/23/24 13:31,input_2_F2_Trial6_27C_20240123_133151.txt,81.2457685,0.14847954,0.02079129,Good,382,420
