Input,Trial,Treatment,time,file,heart_rate,sd,std_err,confidence,start,end
0,Trial15,22C,1/30/24 11:16,input_0_F2_Trial15_22C_20240130_111644.txt,35.8817533,0.64124733,0.09559151,Good,322,398
0,Trial15,22C,1/30/24 11:26,input_0_F2_Trial15_22C_20240130_112644.txt,43.4826371,0.32748061,0.05383748,Good,22,74
0,Trial15,22C,1/30/24 11:36,input_0_F2_Trial15_22C_20240130_113644.txt,44.0039643,0.41872801,0.06792665,Good,22,74
0,Trial15,22C,1/30/24 11:46,input_0_F2_Trial15_22C_20240130_114644.txt,53.7131231,0.10069132,0.01501018,Good,126,178
0,Trial15,22C,1/30/24 11:56,input_0_F2_Trial15_22C_20240130_115644.txt,57.1156592,0.18752483,0.02625873,Good,322,376
0,Trial15,22C,1/30/24 12:06,input_0_F2_Trial15_22C_20240130_120644.txt,55.0406116,0.17600317,0.02514331,Good,48,102
0,Trial15,22C,1/30/24 12:16,input_0_F2_Trial15_22C_20240130_121644.txt,60.2107376,0.28234667,0.03953644,Good,346,398
0,Trial15,22C,1/30/24 12:26,input_0_F2_Trial15_22C_20240130_122644.txt,63.0639564,0.17916843,0.02438173,Good,328,380
0,Trial15,22C,1/30/24 12:36,input_0_F2_Trial15_22C_20240130_123644.txt,70.2096538,0.0789888,0.01011348,Good,398,450
0,Trial15,22C,1/30/24 12:46,input_0_F2_Trial15_22C_20240130_124645.txt,59.8274209,0.05505208,0.00756199,Good,508,562
0,Trial15,22C,1/30/24 12:56,input_0_F2_Trial15_22C_20240130_125645.txt,60.8736496,0.18950045,0.02555224,Good,318,372
0,Trial15,22C,1/30/24 13:06,input_0_F2_Trial15_22C_20240130_130645.txt,51.2124151,0.34614114,0.05159968,Good,142,196
0,Trial15,22C,1/30/24 13:16,input_0_F2_Trial15_22C_20240130_131645.txt,56.7479083,0.35935389,0.04423341,Good,420,490
0,Trial15,22C,1/30/24 13:26,input_0_F2_Trial15_22C_20240130_132645.txt,53.9162113,0.36750008,0.05961639,Good,348,390
0,Trial15,22C,1/30/24 13:36,input_0_F2_Trial15_22C_20240130_133645.txt,17.0771757,0.69698872,0.18627807,Good,218,270
0,Trial15,22C,1/30/24 13:46,input_0_F2_Trial15_22C_20240130_134645.txt,38.4478462,0.43798638,0.06457757,Good,158,230
0,Trial15,22C,1/30/24 13:56,input_0_F2_Trial15_22C_20240130_135645.txt,21.471173,0.42697661,0.13502186,Good,94,124
0,Trial15,22C,1/30/24 14:06,input_0_F2_Trial15_22C_20240130_140645.txt,31.1688312,1.21615286,0.27194005,Flatline,396,436
0,Trial15,22C,1/30/24 14:16,input_0_F2_Trial15_22C_20240130_141645.txt,40.4430462,0.50410189,0.02546099,Discard,0,582.075
0,Trial15,22C,1/30/24 14:26,input_0_F2_Trial15_22C_20240130_142646.txt,41.3400104,0.4862797,0.02431399,Discard,0,582.075
0,Trial15,22C,1/30/24 14:36,input_0_F2_Trial15_22C_20240130_143646.txt,38.1001682,0.53678224,0.02794377,Discard,0,582.075
0,Trial15,22C,1/30/24 14:46,input_0_F2_Trial15_22C_20240130_144646.txt,40.6241735,0.46085618,0.02572248,Discard,0,475.175
1,Trial15,22C,1/30/24 11:16,input_1_F2_Trial15_22C_20240130_111644.txt,43.826087,0.33165372,0.05057672,Good,410,468
1,Trial15,22C,1/30/24 11:26,input_1_F2_Trial15_22C_20240130_112644.txt,45,0.29293857,0.04467271,Good,410,468
1,Trial15,22C,1/30/24 11:36,input_1_F2_Trial15_22C_20240130_113644.txt,50.1590186,0.33640119,0.04906916,Good,450,506
1,Trial15,22C,1/30/24 11:46,input_1_F2_Trial15_22C_20240130_114644.txt,53.3565824,0.25906033,0.0359252,Good,236,294
1,Trial15,22C,1/30/24 11:56,input_1_F2_Trial15_22C_20240130_115644.txt,54.3275633,0.21689317,0.03007767,Good,236,294
1,Trial15,22C,1/30/24 12:06,input_1_F2_Trial15_22C_20240130_120644.txt,54.2608696,0.22527844,0.03094437,Good,178,236
1,Trial15,22C,1/30/24 12:16,input_1_F2_Trial15_22C_20240130_121644.txt,64.171123,0.22873878,0.03202984,Good,330,378
1,Trial15,22C,1/30/24 12:26,input_1_F2_Trial15_22C_20240130_122644.txt,64.4122383,0.13332579,0.01866934,Good,330,378
1,Trial15,22C,1/30/24 12:36,input_1_F2_Trial15_22C_20240130_123644.txt,62.8540887,0.4001521,0.05659005,Good,206,254
1,Trial15,22C,1/30/24 12:46,input_1_F2_Trial15_22C_20240130_124645.txt,47.3906911,0.30838695,0.05726602,Good,308,344
1,Trial15,22C,1/30/24 12:56,input_1_F2_Trial15_22C_20240130_125645.txt,60.1929261,0.28034163,0.0443259,Good,400,440
1,Trial15,22C,1/30/24 13:06,input_1_F2_Trial15_22C_20240130_130645.txt,58.7875077,0.25355722,0.03959899,Good,232,274
1,Trial15,22C,1/30/24 13:16,input_1_F2_Trial15_22C_20240130_131645.txt,56.2324274,0.22516661,0.03152963,Good,154,208
1,Trial15,22C,1/30/24 13:26,input_1_F2_Trial15_22C_20240130_132645.txt,70.046083,0.06031567,0.00965824,Good,190,224
1,Trial15,22C,1/30/24 13:36,input_1_F2_Trial15_22C_20240130_133645.txt,22.8571429,0.8984431,0.17290546,Good,340,410
1,Trial15,22C,1/30/24 13:46,input_1_F2_Trial15_22C_20240130_134645.txt,0.79813768,-1,-1,Good,286,424
1,Trial15,22C,1/30/24 13:56,input_1_F2_Trial15_22C_20240130_135645.txt,3.28445748,6.81069493,2.40794429,Good,334,480
1,Trial15,22C,1/30/24 14:06,input_1_F2_Trial15_22C_20240130_140645.txt,24.7083047,0.79652519,0.1991313,Flatline,140,182
1,Trial15,22C,1/30/24 14:16,input_1_F2_Trial15_22C_20240130_141645.txt,28.9707751,0.66124163,0.14785812,Discard,140,182
1,Trial15,22C,1/30/24 14:26,input_1_F2_Trial15_22C_20240130_142646.txt,26.2618399,0.91608212,0.0574801,Discard,0,582.075
1,Trial15,22C,1/30/24 14:36,input_1_F2_Trial15_22C_20240130_143646.txt,25.2085585,0.89872458,0.05753495,Discard,0,582.075
1,Trial15,22C,1/30/24 14:46,input_1_F2_Trial15_22C_20240130_144646.txt,25.610533,0.90642027,0.06377551,Discard,0,475.175
2,Trial15,22C,1/30/24 11:16,input_2_F2_Trial15_22C_20240130_111644.txt,35.6656347,0.2201135,0.0440227,Good,268,310
2,Trial15,22C,1/30/24 11:26,input_2_F2_Trial15_22C_20240130_112644.txt,32.6213592,0.13171262,0.02808123,Good,268,310
2,Trial15,22C,1/30/24 11:36,input_2_F2_Trial15_22C_20240130_113644.txt,31.8584071,0.09162878,0.01953532,Good,268,310
2,Trial15,22C,1/30/24 11:46,input_2_F2_Trial15_22C_20240130_114644.txt,38.5423101,0.15883288,0.0305674,Good,268,310
2,Trial15,22C,1/30/24 11:56,input_2_F2_Trial15_22C_20240130_115644.txt,44.6726573,0.15146554,0.0276537,Good,268,310
2,Trial15,22C,1/30/24 12:06,input_2_F2_Trial15_22C_20240130_120644.txt,40.3361345,0.33535429,0.06453896,Good,268,310
2,Trial15,22C,1/30/24 12:16,input_2_F2_Trial15_22C_20240130_121644.txt,51.3133781,0.20446179,0.03407696,Good,268,310
2,Trial15,22C,1/30/24 12:26,input_2_F2_Trial15_22C_20240130_122644.txt,52.238806,0.06584933,0.01097489,Good,268,310
2,Trial15,22C,1/30/24 12:36,input_2_F2_Trial15_22C_20240130_123644.txt,57.635468,0.06988882,0.01105039,Good,182,224
2,Trial15,22C,1/30/24 12:46,input_2_F2_Trial15_22C_20240130_124645.txt,65.4028436,0.08769733,0.01279197,Good,236,280
2,Trial15,22C,1/30/24 12:56,input_2_F2_Trial15_22C_20240130_125645.txt,73.4394125,0.05186324,0.00726231,Good,290,332
2,Trial15,22C,1/30/24 13:06,input_2_F2_Trial15_22C_20240130_130645.txt,56.5217391,0.1447373,0.02288498,Good,258,300
2,Trial15,22C,1/30/24 13:16,input_2_F2_Trial15_22C_20240130_131645.txt,86.2068966,0.07095558,0.00993577,Good,172,208
2,Trial15,22C,1/30/24 13:26,input_2_F2_Trial15_22C_20240130_132645.txt,72.9483283,0.21831042,0.03056957,Good,168,210
2,Trial15,22C,1/30/24 13:36,input_2_F2_Trial15_22C_20240130_133645.txt,54.8661006,0.34328339,0.0572139,Good,450,490
2,Trial15,22C,1/30/24 13:46,input_2_F2_Trial15_22C_20240130_134645.txt,48.3453237,0.41795436,0.07761218,Good,100,136
