Input,Trial,Treatment,time,file,heart_rate,sd,std_err,confidence,start,end
0,Trial3,22C,1/18/24 9:59,input_0_F2_Trial3_22C_20240118_095950.txt,33.442623,0.67497277,0.15909261,Good,128,160
0,Trial3,22C,1/18/24 10:09,input_0_F2_Trial3_22C_20240118_100950.txt,37.337943,0.44107202,0.10118886,Good,128,160
0,Trial3,22C,1/18/24 10:19,input_0_F2_Trial3_22C_20240118_101950.txt,49.0322581,0.29517215,0.04726537,Good,210,258
0,Trial3,22C,1/18/24 10:29,input_0_F2_Trial3_22C_20240118_102950.txt,50.4874295,0.40528144,0.06253628,Good,136,186
0,Trial3,22C,1/18/24 10:39,input_0_F2_Trial3_22C_20240118_103950.txt,51.1755057,0.26481094,0.04187029,Good,218,266
0,Trial3,22C,1/18/24 10:49,input_0_F2_Trial3_22C_20240118_104950.txt,54.4629349,0.16535087,0.02437966,Good,160,210
0,Trial3,22C,1/18/24 10:59,input_0_F2_Trial3_22C_20240118_105950.txt,58.0957504,0.24313426,0.03584819,Good,126,174
0,Trial3,22C,1/18/24 11:09,input_0_F2_Trial3_22C_20240118_110950.txt,61.2765957,0.1896316,0.03792632,Good,524,548
0,Trial3,22C,1/18/24 11:19,input_0_F2_Trial3_22C_20240118_111950.txt,66.1899898,0.15200465,0.02872618,Good,286,312
0,Trial3,22C,1/18/24 11:29,input_0_F2_Trial3_22C_20240118_112950.txt,59.1549296,0.20664293,0.02737052,Good,24,82
0,Trial3,22C,1/18/24 11:39,input_0_F2_Trial3_22C_20240118_113951.txt,62.3115578,0.2777042,0.04909163,Good,358,390
0,Trial3,22C,1/18/24 11:49,input_0_F2_Trial3_22C_20240118_114951.txt,57.9234973,0.42962723,0.05846486,Unsure,72,128
0,Trial3,22C,1/18/24 11:59,input_0_F2_Trial3_22C_20240118_115951.txt,60.7808653,0.47413734,0.05549358,Unsure,190,262
0,Trial3,22C,1/18/24 12:09,input_0_F2_Trial3_22C_20240118_120951.txt,55.2529183,0.47978292,0.05654296,Unsure,32,110
0,Trial3,22C,1/18/24 12:19,input_0_F2_Trial3_22C_20240118_121951.txt,29.5233214,0.62868389,0.12573678,Unsure,234,284
0,Trial3,22C,1/18/24 12:29,input_0_F2_Trial3_22C_20240118_122951.txt,23.2424677,0.92535317,0.17487531,Unsure,362,434
0,Trial3,22C,1/18/24 12:39,input_0_F2_Trial3_22C_20240118_123951.txt,3.97515528,3.13776559,1.40325143,Good,184,266
0,Trial3,22C,1/18/24 12:49,input_0_F2_Trial3_22C_20240118_124951.txt,62.8037383,0.35608039,0.03862234,Flatline,254,336
0,Trial3,22C,1/18/24 12:59,input_0_F2_Trial3_22C_20240118_125951.txt,65.0241213,0.33375016,0.01329692,Discard,0,582.075
0,Trial3,22C,1/18/24 13:09,input_0_F2_Trial3_22C_20240118_130951.txt,66.861867,0.30269822,0.01189111,Discard,0,582.075
0,Trial3,22C,1/18/24 13:19,input_0_F2_Trial3_22C_20240118_131952.txt,65.4336368,0.30105109,0.01260964,Discard,0,523.775
1,Trial3,22C,1/18/24 9:59,input_1_F2_Trial3_22C_20240118_095950.txt,39.2226148,0.08991467,0.01458608,Good,6,64
1,Trial3,22C,1/18/24 10:09,input_1_F2_Trial3_22C_20240118_100950.txt,44.1717791,0.05755874,0.00877763,Good,80,138
1,Trial3,22C,1/18/24 10:19,input_1_F2_Trial3_22C_20240118_101950.txt,49.69163,0.16251379,0.02345684,Good,94,152
1,Trial3,22C,1/18/24 10:29,input_1_F2_Trial3_22C_20240118_102950.txt,50.2449889,0.13921488,0.02009394,Good,90,148
1,Trial3,22C,1/18/24 10:39,input_1_F2_Trial3_22C_20240118_103950.txt,52.2434474,0.14625607,0.02068373,Good,110,168
1,Trial3,22C,1/18/24 10:49,input_1_F2_Trial3_22C_20240118_104950.txt,55.5902004,0.15645594,0.02149088,Good,140,198
1,Trial3,22C,1/18/24 10:59,input_1_F2_Trial3_22C_20240118_105950.txt,60.397351,0.09619158,0.01263057,Good,236,294
1,Trial3,22C,1/18/24 11:09,input_1_F2_Trial3_22C_20240118_110950.txt,61.8340611,0.13657404,0.01763163,Good,368,426
1,Trial3,22C,1/18/24 11:19,input_1_F2_Trial3_22C_20240118_111950.txt,58.021978,0.08113256,0.01084179,Good,432,490
1,Trial3,22C,1/18/24 11:29,input_1_F2_Trial3_22C_20240118_112950.txt,73.6196319,0.09949146,0.01180746,Good,182,240
1,Trial3,22C,1/18/24 11:39,input_1_F2_Trial3_22C_20240118_113951.txt,65.2059597,0.20465078,0.02578357,Good,220,278
1,Trial3,22C,1/18/24 11:49,input_1_F2_Trial3_22C_20240118_114951.txt,79.3301014,0.14373712,0.01648778,Good,198,256
1,Trial3,22C,1/18/24 11:59,input_1_F2_Trial3_22C_20240118_115951.txt,86.271113,0.14351556,0.01565883,Good,154,212
1,Trial3,22C,1/18/24 12:09,input_1_F2_Trial3_22C_20240118_120951.txt,44.1453567,0.24055639,0.03711866,Good,134,192
1,Trial3,22C,1/18/24 12:19,input_1_F2_Trial3_22C_20240118_121951.txt,30.0278035,0.7551721,0.14271411,Good,134,192
1,Trial3,22C,1/18/24 12:29,input_1_F2_Trial3_22C_20240118_122951.txt,5.58510638,8.80697775,3.11373685,Good,286,398
1,Trial3,22C,1/18/24 12:39,input_1_F2_Trial3_22C_20240118_123951.txt,29.4220665,0.67156768,0.11192795,Good,484,556
1,Trial3,22C,1/18/24 12:49,input_1_F2_Trial3_22C_20240118_124951.txt,17.0978628,2.0461042,0.45752281,Good,100,180
1,Trial3,22C,1/18/24 12:59,input_1_F2_Trial3_22C_20240118_125951.txt,4.25343376,13.6853689,6.12028305,Flatline,112,192
1,Trial3,22C,1/18/24 13:09,input_1_F2_Trial3_22C_20240118_130951.txt,47.4745733,0.4158294,0.01938815,Discard,0,582.075
1,Trial3,22C,1/18/24 13:19,input_1_F2_Trial3_22C_20240118_131952.txt,47.643251,0.43010741,0.02111314,Discard,0,523.775
2,Trial3,22C,1/18/24 9:59,input_2_F2_Trial3_22C_20240118_095950.txt,50.1583281,0.16560981,0.02840185,Good,306,346
2,Trial3,22C,1/18/24 10:09,input_2_F2_Trial3_22C_20240118_100950.txt,55.0518842,0.10693335,0.01630718,Good,514,560
2,Trial3,22C,1/18/24 10:19,input_2_F2_Trial3_22C_20240118_101950.txt,53.5585042,0.19559718,0.03173005,Good,160,202
2,Trial3,22C,1/18/24 10:29,input_2_F2_Trial3_22C_20240118_102950.txt,66.4206642,0.23352535,0.03443143,Good,360,402
2,Trial3,22C,1/18/24 10:39,input_2_F2_Trial3_22C_20240118_103950.txt,69.5866749,0.10011845,0.01445085,Good,360,402
2,Trial3,22C,1/18/24 10:49,input_2_F2_Trial3_22C_20240118_104950.txt,73.3686067,0.17561772,0.02412295,Good,96,140
2,Trial3,22C,1/18/24 10:59,input_2_F2_Trial3_22C_20240118_105950.txt,77.5956284,0.21926517,0.02584065,Good,96,152
2,Trial3,22C,1/18/24 11:09,input_2_F2_Trial3_22C_20240118_110950.txt,76.9559641,0.24655372,0.02828165,Good,206,266
2,Trial3,22C,1/18/24 11:19,input_2_F2_Trial3_22C_20240118_111950.txt,78.5894207,0.28217305,0.03174695,Good,206,266
2,Trial3,22C,1/18/24 11:29,input_2_F2_Trial3_22C_20240118_112950.txt,80.910683,0.14040651,0.01589791,Good,380,438
2,Trial3,22C,1/18/24 11:39,input_2_F2_Trial3_22C_20240118_113951.txt,86.0557769,0.07048368,0.01332016,Good,184,204
2,Trial3,22C,1/18/24 11:49,input_2_F2_Trial3_22C_20240118_114951.txt,70.7404745,0.22765038,0.03512722,Good,178,214
2,Trial3,22C,1/18/24 11:59,input_2_F2_Trial3_22C_20240118_115951.txt,99.047619,0.13929227,0.01913327,Good,232,264
2,Trial3,22C,1/18/24 12:09,input_2_F2_Trial3_22C_20240118_120951.txt,86.8607396,0.33313989,0.04859345,Good,268,300
2,Trial3,22C,1/18/24 12:19,input_2_F2_Trial3_22C_20240118_121951.txt,81.8991098,0.17824225,0.02130402,Good,254,306
2,Trial3,22C,1/18/24 12:29,input_2_F2_Trial3_22C_20240118_122951.txt,9.20785376,4.87157685,1.14824168,Good,224,340
2,Trial3,22C,1/18/24 12:39,input_2_F2_Trial3_22C_20240118_123951.txt,7.57439134,5.38685952,1.39088115,Good,224,340
2,Trial3,22C,1/18/24 12:49,input_2_F2_Trial3_22C_20240118_124951.txt,2.90556901,1.83192181,0.74787895,Good,224,340
2,Trial3,22C,1/18/24 12:59,input_2_F2_Trial3_22C_20240118_125951.txt,84.0365376,0.23222505,0.01824532,Flatline,286,402
2,Trial3,22C,1/18/24 13:09,input_2_F2_Trial3_22C_20240118_130951.txt,81.3384371,0.24376756,0.00867836,Discard,0,582.075
2,Trial3,22C,1/18/24 13:19,input_2_F2_Trial3_22C_20240118_131952.txt,83.8904031,0.23898348,0.00883308,Discard,0,523.775
3,Trial3,22C,1/18/24 9:59,input_3_F2_Trial3_22C_20240118_095950.txt,63.3204633,0.12447451,0.01920683,Good,494,534
