Input,Trial,Treatment,time,file,heart_rate,sd,std_err,confidence,start,end
0,Trial2,27C,1/17/24 10:19,input_0_F2_Trial2_27C_20240117_101903.txt,85.7142857,0.0533745,0.0079566,Good,418,450
0,Trial2,27C,1/17/24 10:29,input_0_F2_Trial2_27C_20240117_102903.txt,88.2082695,0.03844181,0.00449927,Good,234,284
0,Trial2,27C,1/17/24 10:39,input_0_F2_Trial2_27C_20240117_103903.txt,77.099587,0.06940762,0.00823717,Good,284,340
0,Trial2,27C,1/17/24 10:49,input_0_F2_Trial2_27C_20240117_104903.txt,82.5291181,0.05568103,0.00701515,Good,330,376
0,Trial2,27C,1/17/24 10:59,input_0_F2_Trial2_27C_20240117_105903.txt,88.8217523,0.05412413,0.00765431,Good,504,538
0,Trial2,27C,1/17/24 11:09,input_0_F2_Trial2_27C_20240117_110904.txt,90.4441454,0.05798987,0.00768095,Good,240,278
0,Trial2,27C,1/17/24 11:19,input_0_F2_Trial2_27C_20240117_111904.txt,93.9271255,0.05176118,0.00673873,Good,240,278
0,Trial2,27C,1/17/24 11:29,input_0_F2_Trial2_27C_20240117_112904.txt,96.0893855,0.05603155,0.00844707,Good,312,340
0,Trial2,27C,1/17/24 11:39,input_0_F2_Trial2_27C_20240117_113904.txt,94.9033392,0.05289969,0.00554539,Good,164,222
0,Trial2,27C,1/17/24 11:49,input_0_F2_Trial2_27C_20240117_114904.txt,80.6517312,0.08053297,0.01381129,Good,452,478
0,Trial2,27C,1/17/24 11:59,input_0_F2_Trial2_27C_20240117_115904.txt,94.6478873,0.14814107,0.0225913,Good,198,226
0,Trial2,27C,1/17/24 12:09,input_0_F2_Trial2_27C_20240117_120904.txt,81.5533981,0.11017487,0.01680151,Good,420,452
0,Trial2,27C,1/17/24 12:19,input_0_F2_Trial2_27C_20240117_121904.txt,27.6969393,1.29420932,0.26417937,Good,460,514
0,Trial2,27C,1/17/24 12:29,input_0_F2_Trial2_27C_20240117_122904.txt,11.0208407,5.22787156,1.39720745,Good,380,454
0,Trial2,27C,1/17/24 12:39,input_0_F2_Trial2_27C_20240117_123904.txt,76.0228773,0.29328837,0.03432681,Flatline,382,440
0,Trial2,27C,1/17/24 12:49,input_0_F2_Trial2_27C_20240117_124905.txt,75.0064572,0.27654269,0.0102564,Discard,0,582.075
0,Trial2,27C,1/17/24 12:59,input_0_F2_Trial2_27C_20240117_125905.txt,75.2750042,0.27261538,0.01155108,Discard,0,443.975
1,Trial2,27C,1/17/24 10:19,input_1_F2_Trial2_27C_20240117_101903.txt,65.5800575,0.21212465,0.02785333,Unsure,362,416
1,Trial2,27C,1/17/24 10:29,input_1_F2_Trial2_27C_20240117_102903.txt,75.7532281,0.14981778,0.01830316,Unsure,392,446
1,Trial2,27C,1/17/24 10:39,input_1_F2_Trial2_27C_20240117_103903.txt,68.261851,0.19701433,0.02462679,Unsure,210,266
1,Trial2,27C,1/17/24 10:49,input_1_F2_Trial2_27C_20240117_104903.txt,69.9135184,0.16785615,0.02081999,Unsure,210,266
1,Trial2,27C,1/17/24 10:59,input_1_F2_Trial2_27C_20240117_105903.txt,69.2624828,0.13898819,0.01737352,Unsure,210,266
1,Trial2,27C,1/17/24 11:09,input_1_F2_Trial2_27C_20240117_110904.txt,67.1726755,0.10368538,0.01338573,Unsure,48,102
1,Trial2,27C,1/17/24 11:19,input_1_F2_Trial2_27C_20240117_111904.txt,78.7602552,0.17776846,0.02080622,Unsure,258,314
1,Trial2,27C,1/17/24 11:29,input_1_F2_Trial2_27C_20240117_112904.txt,76.300578,0.25014948,0.02832385,Unsure,418,480
1,Trial2,27C,1/17/24 11:39,input_1_F2_Trial2_27C_20240117_113904.txt,81.405803,0.24327421,0.02654339,Unsure,244,306
1,Trial2,27C,1/17/24 11:49,input_1_F2_Trial2_27C_20240117_114904.txt,26.2370541,0.67063239,0.14995796,Unsure,204,252
1,Trial2,27C,1/17/24 11:59,input_1_F2_Trial2_27C_20240117_115904.txt,23.2108317,0.59894252,0.14973563,Unsure,540,580
1,Trial2,27C,1/17/24 12:09,input_1_F2_Trial2_27C_20240117_120904.txt,26.7206478,0.78264799,0.16319339,Unsure,486,538
1,Trial2,27C,1/17/24 12:19,input_1_F2_Trial2_27C_20240117_121904.txt,21.9360199,0.9695562,0.20216644,Unsure,200,266
1,Trial2,27C,1/17/24 12:29,input_1_F2_Trial2_27C_20240117_122904.txt,11.598513,5.91736905,1.5814834,Unsure,182,260
1,Trial2,27C,1/17/24 12:39,input_1_F2_Trial2_27C_20240117_123904.txt,84.1216216,0.27536941,0.03004527,Flatline,344,404
1,Trial2,27C,1/17/24 12:49,input_1_F2_Trial2_27C_20240117_124905.txt,85.2865256,0.24890017,0.00865511,Discard,0,582.075
1,Trial2,27C,1/17/24 12:59,input_1_F2_Trial2_27C_20240117_125905.txt,84.15356,0.25747924,0.01031569,Discard,0,443.975
2,Trial2,27C,1/17/24 10:19,input_2_F2_Trial2_27C_20240117_101903.txt,84.3956044,0.07581158,0.01838701,Good,458,470
2,Trial2,27C,1/17/24 10:29,input_2_F2_Trial2_27C_20240117_102903.txt,79.541109,0.09659918,0.01326892,Good,446,486
2,Trial2,27C,1/17/24 10:39,input_2_F2_Trial2_27C_20240117_103903.txt,67.5422139,0.18191194,0.03267235,Good,204,232
2,Trial2,27C,1/17/24 10:49,input_2_F2_Trial2_27C_20240117_104903.txt,69.5652174,0.20877147,0.04555767,Good,194,212
2,Trial2,27C,1/17/24 10:59,input_2_F2_Trial2_27C_20240117_105903.txt,83.7513631,0.06768326,0.01178214,Good,254,278
2,Trial2,27C,1/17/24 11:09,input_2_F2_Trial2_27C_20240117_110904.txt,65.2631579,0.25935052,0.03267509,Good,186,244
2,Trial2,27C,1/17/24 11:19,input_2_F2_Trial2_27C_20240117_111904.txt,68.0981595,0.22340526,0.03624112,Good,454,488
2,Trial2,27C,1/17/24 11:29,input_2_F2_Trial2_27C_20240117_112904.txt,85.4732896,0.05735781,0.0091846,Good,326,354
2,Trial2,27C,1/17/24 11:39,input_2_F2_Trial2_27C_20240117_113904.txt,96.2080173,0.06586654,0.01068496,Good,286,310
2,Trial2,27C,1/17/24 11:49,input_2_F2_Trial2_27C_20240117_114904.txt,111.326861,0.10283226,0.01550255,Good,286,310
2,Trial2,27C,1/17/24 11:59,input_2_F2_Trial2_27C_20240117_115904.txt,105.284148,0.11470127,0.01709866,Good,374,400
2,Trial2,27C,1/17/24 12:09,input_2_F2_Trial2_27C_20240117_120904.txt,96.5003723,0.06201154,0.00836164,Unsure,86,120
2,Trial2,27C,1/17/24 12:19,input_2_F2_Trial2_27C_20240117_121904.txt,47.4164134,0.35623566,0.06855759,Unsure,86,120
2,Trial2,27C,1/17/24 12:29,input_2_F2_Trial2_27C_20240117_122904.txt,19.5320448,1.04342685,0.25306818,Unsure,192,246
2,Trial2,27C,1/17/24 12:39,input_2_F2_Trial2_27C_20240117_123904.txt,7.85597381,8.41205732,3.7619864,Flatline,254,310
2,Trial2,27C,1/17/24 12:49,input_2_F2_Trial2_27C_20240117_124905.txt,77.1096774,0.25666292,0.00938453,Discard,0,582.075
2,Trial2,27C,1/17/24 12:59,input_2_F2_Trial2_27C_20240117_125905.txt,77.1220421,0.2647287,0.01108827,Discard,0,443.975
3,Trial2,27C,1/17/24 10:19,input_3_F2_Trial2_27C_20240117_101903.txt,67.0157068,0.05800358,0.01009713,Good,356,386
3,Trial2,27C,1/17/24 10:29,input_3_F2_Trial2_27C_20240117_102903.txt,63.566804,0.05439637,0.00802031,Good,408,452
3,Trial2,27C,1/17/24 10:39,input_3_F2_Trial2_27C_20240117_103903.txt,71.459695,0.14705182,0.02269059,Good,320,356
3,Trial2,27C,1/17/24 10:49,input_3_F2_Trial2_27C_20240117_104903.txt,62.2641509,0.10429105,0.02174619,Good,254,276
3,Trial2,27C,1/17/24 10:59,input_3_F2_Trial2_27C_20240117_105903.txt,71.3459951,0.169469,0.02786053,Good,152,184
3,Trial2,27C,1/17/24 11:09,input_3_F2_Trial2_27C_20240117_110904.txt,70.2842377,0.17300074,0.02924246,Good,200,230
3,Trial2,27C,1/17/24 11:19,input_3_F2_Trial2_27C_20240117_111904.txt,73.9172281,0.18996863,0.03306929,Good,186,214
3,Trial2,27C,1/17/24 11:29,input_3_F2_Trial2_27C_20240117_112904.txt,75.2238806,0.07997895,0.01219668,Good,224,258
3,Trial2,27C,1/17/24 11:39,input_3_F2_Trial2_27C_20240117_113904.txt,69.1176471,0.0906951,0.01309071,Good,126,168
3,Trial2,27C,1/17/24 11:49,input_3_F2_Trial2_27C_20240117_114904.txt,82.0668693,0.06766301,0.00997637,Good,432,466
3,Trial2,27C,1/17/24 11:59,input_3_F2_Trial2_27C_20240117_115904.txt,83.5164835,0.11625925,0.01526559,Good,102,144
3,Trial2,27C,1/17/24 12:09,input_3_F2_Trial2_27C_20240117_120904.txt,83.8554217,0.11010637,0.01433463,Good,378,420
3,Trial2,27C,1/17/24 12:19,input_3_F2_Trial2_27C_20240117_121904.txt,70.5306122,0.07379656,0.01213208,Good,102,134
3,Trial2,27C,1/17/24 12:29,input_3_F2_Trial2_27C_20240117_122904.txt,45.5120101,0.28789765,0.05170795,Good,190,230
3,Trial2,27C,1/17/24 12:39,input_3_F2_Trial2_27C_20240117_123904.txt,52.5283019,0.36767267,0.06712754,Flatline,370,406
3,Trial2,27C,1/17/24 12:49,input_3_F2_Trial2_27C_20240117_124905.txt,55.2281819,0.34530139,0.01491475,Discard,0,582.075
3,Trial2,27C,1/17/24 12:59,input_3_F2_Trial2_27C_20240117_125905.txt,55.1380715,0.36245307,0.01796613,Discard,0,443.975
4,Trial2,27C,1/17/24 10:19,input_4_F2_Trial2_27C_20240117_101903.txt,55.6118755,0.41654829,0.07251175,Unsure,206,242
4,Trial2,27C,1/17/24 10:29,input_4_F2_Trial2_27C_20240117_102903.txt,53.82263,0.28915508,0.060293,Good,424,450
4,Trial2,27C,1/17/24 10:39,input_4_F2_Trial2_27C_20240117_103903.txt,52.1285838,0.39682857,0.07782449,Good,126,156
4,Trial2,27C,1/17/24 10:49,input_4_F2_Trial2_27C_20240117_104903.txt,55.3220339,0.22377738,0.03782528,Good,174,212
4,Trial2,27C,1/17/24 10:59,input_4_F2_Trial2_27C_20240117_105903.txt,54.8755884,0.23655584,0.03998524,Good,174,212
4,Trial2,27C,1/17/24 11:09,input_4_F2_Trial2_27C_20240117_110904.txt,54.2553192,0.10188727,0.01722209,Good,204,242
4,Trial2,27C,1/17/24 11:19,input_4_F2_Trial2_27C_20240117_111904.txt,63.972485,0.18218516,0.02295317,Good,40,100
4,Trial2,27C,1/17/24 11:29,input_4_F2_Trial2_27C_20240117_112904.txt,68.3003953,0.18108333,0.02976992,Good,12,44
4,Trial2,27C,1/17/24 11:39,input_4_F2_Trial2_27C_20240117_113904.txt,76.5174739,0.22708883,0.03119305,Good,200,242
4,Trial2,27C,1/17/24 11:49,input_4_F2_Trial2_27C_20240117_114904.txt,35.7111597,0.64260889,0.10862073,Unsure,334,392
4,Trial2,27C,1/17/24 11:59,input_4_F2_Trial2_27C_20240117_115904.txt,94.4444444,0.19907137,0.02760623,Good,74,108
4,Trial2,27C,1/17/24 12:09,input_4_F2_Trial2_27C_20240117_120904.txt,81.6944024,0.19286189,0.02843593,Good,54,88
