"Input","Trial","Treatment","date","temperature","Heartrate","sd","std_err","confidence","recording_length","time","start","end"
0,"Trial14","27C",2024-01-30 07:50:00,27.672,60.085026,0.18393503,0.02503039,"Good",54,2024-01-30 07:55:01,274,328
0,"Trial14","27C",2024-01-30 08:00:00,28.48,66.8523677,0.15415929,0.02768783,"Good",28,2024-01-30 08:02:54,160,188
0,"Trial14","27C",2024-01-30 08:10:00,29.866,67.3015873,0.18598383,0.02530919,"Good",48,2024-01-30 08:17:14,410,458
0,"Trial14","27C",2024-01-30 08:20:00,30.626,58.4745763,0.1590734,0.02320324,"Good",48,2024-01-30 08:24:08,224,272
0,"Trial14","27C",2024-01-30 08:30:00,31.299,62.988752,0.19102553,0.02701509,"Good",48,2024-01-30 08:31:14,50,98
0,"Trial14","27C",2024-01-30 08:40:00,32.571,60.385439,0.19549742,0.02821762,"Good",48,2024-01-30 08:44:12,228,276
0,"Trial14","27C",2024-01-30 08:50:00,33.466,55.1282051,0.22222822,0.03350217,"Good",48,2024-01-30 08:52:54,150,198
0,"Trial14","27C",2024-01-30 09:00:00,34.258,56.230032,0.25726495,0.03835079,"Good",48,2024-01-30 09:01:38,74,122
0,"Trial14","27C",2024-01-30 09:10:00,35.507,65.5948553,0.30162794,0.04182827,"Good",48,2024-01-30 09:14:16,232,280
0,"Trial14","27C",2024-01-30 09:20:00,36.281,33.8578405,0.44188952,0.08504168,"Good",48,2024-01-30 09:21:34,70,118
0,"Trial14","27C",2024-01-30 09:30:00,37.678,16.0291439,1.45220053,0.41921418,"Good",48,2024-01-30 09:35:10,286,334
0,"Trial14","27C",2024-01-30 09:40:00,38.78,11.2676056,1.2708265,0.38316861,"Good",62,2024-01-30 09:47:11,400,462
0,"Trial14","27C",2024-01-30 09:50:00,39.435,9.12085128,2.23626496,0.55906624,"Flatline",106,2024-01-30 09:54:05,192,298
0,"Trial14","27C",2024-01-30 10:00:00,40.51,10.1248206,1.87933498,0.1898415,"Discard",582.075,2024-01-30 10:04:51.0375,0,582.075
0,"Trial14","27C",2024-01-30 10:10:00,41.458,10.7825177,1.89426548,0.18574801,"Discard",582.075,2024-01-30 10:14:51.0375,0,582.075
0,"Trial14","27C",2024-01-30 10:20:00,42.454,10.1906413,1.81652369,0.1825675,"Discard",582.075,2024-01-30 10:24:51.0375,0,582.075
0,"Trial14","27C",2024-01-30 10:30:00,42.958,13.0131681,1.24948799,0.44176072,"Discard",43.275,2024-01-30 10:30:21.6375,0,43.275
1,"Trial14","27C",2024-01-30 07:50:00,27.458,61.4173228,0.10047024,0.01380065,"Good",52,2024-01-30 07:52:56,150,202
1,"Trial14","27C",2024-01-30 08:00:00,28.62,66.5346535,0.05932521,0.00785782,"Good",52,2024-01-30 08:06:22,356,408
1,"Trial14","27C",2024-01-30 08:10:00,29.179,60.2065912,0.04359461,0.00604549,"Good",52,2024-01-30 08:12:16,110,162
1,"Trial14","27C",2024-01-30 08:20:00,30.54,65.2307692,0.06639018,0.00903456,"Good",50,2024-01-30 08:25:11,286,336
1,"Trial14","27C",2024-01-30 08:30:00,31.722,67.1328671,0.04844162,0.00641625,"Good",52,2024-01-30 08:37:12,406,458
1,"Trial14","27C",2024-01-30 08:40:00,32.333,65.9340659,0.04155541,0.00555308,"Good",52,2024-01-30 08:43:46,200,252
1,"Trial14","27C",2024-01-30 08:50:00,33.353,61.1764706,0.08711264,0.01196584,"Good",52,2024-01-30 08:53:46,200,252
1,"Trial14","27C",2024-01-30 09:00:00,34.322,76.5832106,0.05215604,0.00641997,"Good",52,2024-01-30 09:03:46,200,252
1,"Trial14","27C",2024-01-30 09:10:00,35.534,84.5401174,0.11066028,0.01295181,"Good",52,2024-01-30 09:15:26,300,352
1,"Trial14","27C",2024-01-30 09:20:00,36.574,86.0215054,0.17344425,0.02428705,"Good",36,2024-01-30 09:26:42,384,420
1,"Trial14","27C",2024-01-30 09:30:00,37.602,69.2640693,0.10942009,0.01708855,"Good",36,2024-01-30 09:36:42,384,420
1,"Trial14","27C",2024-01-30 09:40:00,38.506,30.4520222,0.26898246,0.06523783,"Good",34,2024-01-30 09:46:07,350,384
1,"Trial14","27C",2024-01-30 09:50:00,39.501,7.71394134,3.8275887,1.2758629,"Good",72,2024-01-30 09:56:00,324,396
1,"Trial14","27C",2024-01-30 10:00:00,40.594,54.3451652,0.40588182,0.06584273,"Flatline",42,2024-01-30 10:07:37,436,478
1,"Trial14","27C",2024-01-30 10:10:00,41.35,54.5571964,0.38464502,0.0167237,"Discard",582.075,2024-01-30 10:14:51.0375,0,582.075
1,"Trial14","27C",2024-01-30 10:20:00,42.333,53.5658781,0.36333149,0.01596387,"Discard",582.075,2024-01-30 10:24:51.0375,0,582.075
1,"Trial14","27C",2024-01-30 10:30:00,42.834,53.6555891,0.42510818,0.06896165,"Discard",43.275,2024-01-30 10:30:21.6375,0,43.275
2,"Trial14","27C",2024-01-30 07:50:00,27.825,58.5365854,0.13437096,0.02495206,"Good",30,2024-01-30 07:58:49,514,544
2,"Trial14","27C",2024-01-30 08:00:00,28.4,60.1318681,0.17354502,0.02278758,"Good",58,2024-01-30 08:03:59,210,268
2,"Trial14","27C",2024-01-30 08:10:00,29.386,65.6084656,0.11572547,0.01458004,"Good",58,2024-01-30 08:13:59,210,268
2,"Trial14","27C",2024-01-30 08:20:00,30.506,66.5492958,0.05441645,0.00680206,"Good",58,2024-01-30 08:25:27,298,356
2,"Trial14","27C",2024-01-30 08:30:00,31.481,69.3333333,0.08048829,0.00990742,"Good",58,2024-01-30 08:35:27,298,356
2,"Trial14","27C",2024-01-30 08:40:00,32.061,71.2352684,0.05467976,0.00658267,"Good",58,2024-01-30 08:41:37,68,126
2,"Trial14","27C",2024-01-30 08:50:00,33.259,36.4699006,0.64272931,0.12369331,"Good",44,2024-01-30 08:53:16,174,218
2,"Trial14","27C",2024-01-30 09:00:00,34.425,36.7071525,0.60015827,0.10144526,"Good",58,2024-01-30 09:04:51,262,320
2,"Trial14","27C",2024-01-30 09:10:00,35.613,27.6060388,0.79783398,0.19350316,"Good",38,2024-01-30 09:17:21,422,460
2,"Trial14","27C",2024-01-30 09:20:00,36.253,29.4027565,0.55960365,0.13572382,"Good",36,2024-01-30 09:24:34,256,292
2,"Trial14","27C",2024-01-30 09:30:00,37.571,7.08800945,11.5173503,2.87933757,"Good",148,2024-01-30 09:37:52,398,546
