file,heart_rate,sd,std_err,confidence,start,end,,,,,,,,
input_2_F2_Trial13_22C_20240130_084358.txt,79.31330472,0.082657604,0.009359131,Good,406,466,,,,,,,,
input_2_F2_Trial13_22C_20240130_085358.txt,86.08027327,0.081348273,0.008823459,Good,298,358,,,,,,,,
input_2_F2_Trial13_22C_20240130_090358.txt,99.8738966,0.124101595,0.01241016,Good,328,388,,,,,,,,
input_2_F2_Trial13_22C_20240130_091358.txt,95.31051965,0.075398829,0.007735757,Good,154,214,,,,,,,,
input_2_F2_Trial13_22C_20240130_092358.txt,85.17110266,0.275072847,0.029835839,Good,280,340,,,,,,,,
input_2_F2_Trial13_22C_20240130_093358.txt,84.69387755,0.227099859,0.024778626,Good,288,348,,,,,,,,
input_2_F2_Trial13_22C_20240130_094358.txt,16.35036496,3.679728493,0.950101812,Good,304,370,,,,,,,,
input_2_F2_Trial13_22C_20240130_095358.txt,20.41884817,2.747773924,0.528809338,Good,402,484,,,,,,,,
input_2_F2_Trial13_22C_20240130_100358.txt,10.2926337,6.69608815,1.578283113,Good,174,288,,,,,,,,
input_2_F2_Trial13_22C_20240130_101358.txt,74.1885626,0.28094107,0.043875624,Flatline,130,164,,,,,,,,
input_2_F2_Trial13_22C_20240130_102359.txt,78.54282392,0.245180097,0.008887772,Discard,0,582.075,,,,,,,,
input_2_F2_Trial13_22C_20240130_103359.txt,78.2161235,0.259494825,0.024198017,Discard,0,88.975,,,,,,,,
input_3_F2_Trial13_22C_20240130_070357.txt,50.48543689,0.133895403,0.018391948,Good,200,264,,,,,,,,
input_3_F2_Trial13_22C_20240130_071357.txt,51.79153094,0.118984424,0.016191729,Good,200,264,,,,,,,,
input_3_F2_Trial13_22C_20240130_072357.txt,56.01609658,0.155512856,0.020246049,Good,200,264,,,,,,,,
input_3_F2_Trial13_22C_20240130_073357.txt,54.30726479,0.183981183,0.024157913,Good,248,312,,,,,,,,
input_3_F2_Trial13_22C_20240130_074357.txt,58.86075949,0.070043803,0.00882469,Good,224,288,,,,,,,,
input_3_F2_Trial13_22C_20240130_075357.txt,62.12664277,0.081438391,0.010024373,Good,352,416,,,,,,,,
input_3_F2_Trial13_22C_20240130_080357.txt,63.30935252,0.139692469,0.017066151,Good,230,294,,,,,,,,
input_3_F2_Trial13_22C_20240130_081357.txt,68.8172043,0.071199173,0.008333233,Good,230,294,,,,,,,,
input_3_F2_Trial13_22C_20240130_082357.txt,70.36450079,0.106675122,0.012317782,Good,230,294,,,,,,,,
input_3_F2_Trial13_22C_20240130_083357.txt,72.26624406,0.076954076,0.008769731,Good,44,108,,,,,,,,
input_3_F2_Trial13_22C_20240130_084358.txt,52.99076676,0.307983011,0.041155961,Good,104,168,,,,,,,,
input_3_F2_Trial13_22C_20240130_085358.txt,73.02631579,0.251649501,0.029057981,Good,82,144,,,,,,,,
input_3_F2_Trial13_22C_20240130_090358.txt,87.51139471,0.238779448,0.037291085,Good,504,532,,,,,,,,
input_3_F2_Trial13_22C_20240130_091358.txt,91.17647059,0.236685367,0.029819553,Good,254,296,,,,,,,,
input_3_F2_Trial13_22C_20240130_092358.txt,89.88047809,0.204162852,0.029468369,Good,154,186,,,,,,,,
input_3_F2_Trial13_22C_20240130_093358.txt,109.2682927,0.090950072,0.012046631,Good,186,218,,,,,,,,
input_3_F2_Trial13_22C_20240130_094358.txt,14.89841986,2.358745815,0.680911266,Good,268,322,,,,,,,,
input_3_F2_Trial13_22C_20240130_095358.txt,8.7246289,2.539740017,0.704397143,Good,160,248,,,,,,,,
input_3_F2_Trial13_22C_20240130_100358.txt,78.23050058,0.222848662,0.029517026,Flatline,356,400,,,,,,,,
input_3_F2_Trial13_22C_20240130_101358.txt,79.35508902,0.240870186,0.008691654,Discard,0,582.075,,,,,,,,
