file,heart_rate,sd,std_err,confidence,start,end,,,
input_4_F2_Trial14_27C_20240130_084028.txt,88.88888889,0.175757801,0.01863029,Good,368,428,,,
input_4_F2_Trial14_27C_20240130_085028.txt,97.18875502,0.159093885,0.014403684,Good,234,310,,,
input_4_F2_Trial14_27C_20240130_090028.txt,91.71974522,0.161468533,0.015057018,Good,234,310,,,
input_4_F2_Trial14_27C_20240130_091028.txt,91.66389904,0.106147789,0.009855575,Good,234,310,,,
input_4_F2_Trial14_27C_20240130_092028.txt,86.02305476,0.283478071,0.020044927,Good,218,358,,,
input_4_F2_Trial14_27C_20240130_093028.txt,33.87737097,0.650344492,0.113210445,Good,150,208,,,
input_4_F2_Trial14_27C_20240130_094028.txt,31.28167994,0.629472559,0.144410909,Good,430,468,,,
input_4_F2_Trial14_27C_20240130_095028.txt,3.162055336,9.74860567,3.979851599,Good,276,386,,,
input_4_F2_Trial14_27C_20240130_100028.txt,7.195421096,5.013735679,1.447340822,Good,276,386,,,
input_4_F2_Trial14_27C_20240130_101029.txt,124.055666,0.254175166,0.034913644,Flatline,44,70,,,
input_4_F2_Trial14_27C_20240130_102029.txt,131.7853457,0.171857865,0.004807331,Discard,0,582.075,,,
input_4_F2_Trial14_27C_20240130_103029.txt,125.1318102,0.192049421,0.020243786,Discard,0,43.275,,,
input_5_F2_Trial14_27C_20240130_075027.txt,50.83743842,0.141269556,0.021297187,Good,126,178,,,
input_5_F2_Trial14_27C_20240130_080027.txt,54.16666667,0.108516549,0.013357464,Good,280,354,,,
input_5_F2_Trial14_27C_20240130_081027.txt,56.62734212,0.074941446,0.00902189,Good,280,354,,,
input_5_F2_Trial14_27C_20240130_082027.txt,56.80888369,0.063434374,0.007005155,Good,34,122,,,
input_5_F2_Trial14_27C_20240130_083028.txt,54.94276795,0.153932996,0.018805909,Good,164,238,,,
input_5_F2_Trial14_27C_20240130_084028.txt,55.31514581,0.154853453,0.021899585,Good,214,268,,,
input_5_F2_Trial14_27C_20240130_085028.txt,52.66151971,0.114059097,0.015379726,Good,250,314,,,
input_5_F2_Trial14_27C_20240130_090028.txt,69.54921803,0.042090776,0.005261347,Good,384,440,,,
input_5_F2_Trial14_27C_20240130_091028.txt,53.56004251,0.130224723,0.019859084,Good,96,144,,,
input_5_F2_Trial14_27C_20240130_092028.txt,73.66720517,0.100898816,0.010297942,Good,278,356,,,
input_5_F2_Trial14_27C_20240130_093028.txt,70.58823529,0.109381377,0.01356709,Good,190,246,,,
input_5_F2_Trial14_27C_20240130_094028.txt,72.9139923,0.271626926,0.03201154,Good,278,338,,,
input_5_F2_Trial14_27C_20240130_095028.txt,10.51972448,5.15928428,1.82408245,Good,412,460,,,
input_5_F2_Trial14_27C_20240130_100028.txt,84.7826087,0.310037872,0.049021292,Flatline,370,400,,,
input_5_F2_Trial14_27C_20240130_101029.txt,97.79286927,0.158110379,0.022587197,Discard,370,400,,,
input_5_F2_Trial14_27C_20240130_102029.txt,95.30201342,0.212502482,0.006990818,Discard,0,582.075,,,
