file,heart_rate,sd,std_err,confidence,start,end,,,
input_0_F2_Trial14_27C_20240130_075027.txt,60.08502598,0.183935026,0.025030387,Good,274,328,,,
input_0_F2_Trial14_27C_20240130_080027.txt,66.85236769,0.154159288,0.027687826,Good,160,188,,,
input_0_F2_Trial14_27C_20240130_081027.txt,67.3015873,0.185983831,0.025309194,Good,410,458,,,
input_0_F2_Trial14_27C_20240130_082027.txt,58.47457627,0.159073404,0.023203241,Good,224,272,,,
input_0_F2_Trial14_27C_20240130_083028.txt,62.98875201,0.191025529,0.027015089,Good,50,98,,,
input_0_F2_Trial14_27C_20240130_084028.txt,60.38543897,0.195497421,0.028217622,Good,228,276,,,
input_0_F2_Trial14_27C_20240130_085028.txt,55.12820513,0.222228221,0.033502165,Good,150,198,,,
input_0_F2_Trial14_27C_20240130_090028.txt,56.23003195,0.257264948,0.038350794,Good,74,122,,,
input_0_F2_Trial14_27C_20240130_091028.txt,65.59485531,0.301627936,0.041828269,Good,232,280,,,
input_0_F2_Trial14_27C_20240130_092028.txt,33.85784048,0.441889518,0.085041677,Good,70,118,,,
input_0_F2_Trial14_27C_20240130_093028.txt,16.0291439,1.452200525,0.419214182,Good,286,334,,,
input_0_F2_Trial14_27C_20240130_094028.txt,11.26760563,1.270826503,0.383168608,Good,400,462,,,
input_0_F2_Trial14_27C_20240130_095028.txt,9.120851279,2.236264956,0.559066239,Flatline,192,298,,,
input_0_F2_Trial14_27C_20240130_100028.txt,10.1248206,1.87933498,0.189841501,Discard,0,582.075,,,
input_0_F2_Trial14_27C_20240130_101029.txt,10.78251767,1.894265483,0.185748013,Discard,0,582.075,,,
input_0_F2_Trial14_27C_20240130_102029.txt,10.19064125,1.816523688,0.1825675,Discard,0,582.075,,,
input_0_F2_Trial14_27C_20240130_103029.txt,13.01316809,1.24948799,0.441760716,Discard,0,43.275,,,
input_1_F2_Trial14_27C_20240130_075027.txt,61.41732283,0.100470237,0.013800648,Good,150,202,,,
input_1_F2_Trial14_27C_20240130_080027.txt,66.53465347,0.05932521,0.007857816,Good,356,408,,,
input_1_F2_Trial14_27C_20240130_081027.txt,60.20659124,0.043594612,0.006045485,Good,110,162,,,
input_1_F2_Trial14_27C_20240130_082027.txt,65.23076923,0.06639018,0.009034559,Good,286,336,,,
input_1_F2_Trial14_27C_20240130_083028.txt,67.13286713,0.048441624,0.00641625,Good,406,458,,,
input_1_F2_Trial14_27C_20240130_084028.txt,65.93406593,0.041555407,0.005553075,Good,200,252,,,
input_1_F2_Trial14_27C_20240130_085028.txt,61.17647059,0.087112642,0.011965842,Good,200,252,,,
input_1_F2_Trial14_27C_20240130_090028.txt,76.5832106,0.052156039,0.006419965,Good,200,252,,,
input_1_F2_Trial14_27C_20240130_091028.txt,84.54011742,0.110660275,0.012951806,Good,300,352,,,
