file,heart_rate,sd,std_err,confidence,start,end
input_2_F2_Trial15_22C_20240130_142646.txt,86.64259928,0.238733303,0.037283878,Flatline,168,196
input_2_F2_Trial15_22C_20240130_143646.txt,94.60773766,0.21193394,0.006998675,Discard,0,582.075
input_2_F2_Trial15_22C_20240130_144646.txt,94.36070412,0.218746585,0.008003519,Discard,0,475.175
input_3_F2_Trial15_22C_20240130_111644.txt,35.83815029,0.152818502,0.02701475,Good,196,250
input_3_F2_Trial15_22C_20240130_112644.txt,26.62807525,0.171938207,0.03509674,Good,220,276
input_3_F2_Trial15_22C_20240130_113644.txt,26.91588785,0.13098014,0.026196028,Good,220,276
input_3_F2_Trial15_22C_20240130_114644.txt,27.04225352,0.111864145,0.022372829,Good,220,276
input_3_F2_Trial15_22C_20240130_115644.txt,27.08039492,0.124414389,0.024882878,Good,220,276
input_3_F2_Trial15_22C_20240130_120644.txt,27.82258065,0.140659444,0.028711989,Good,424,478
input_3_F2_Trial15_22C_20240130_121644.txt,31.33462282,0.080341596,0.015183135,Good,316,370
input_3_F2_Trial15_22C_20240130_122644.txt,40.05722461,0.036567539,0.00609459,Good,308,362
input_3_F2_Trial15_22C_20240130_123644.txt,40.79650316,0.037615369,0.006269228,Good,308,362
input_3_F2_Trial15_22C_20240130_124645.txt,45.71428571,0.101747551,0.015890298,Good,278,332
input_3_F2_Trial15_22C_20240130_125645.txt,50.19011407,0.053176081,0.007927022,Good,254,308
input_3_F2_Trial15_22C_20240130_130645.txt,63.51606805,0.070664747,0.009359774,Good,416,470
input_3_F2_Trial15_22C_20240130_131645.txt,81.70212766,0.044293654,0.00518418,Good,124,178
input_3_F2_Trial15_22C_20240130_132645.txt,76.67731629,0.275876876,0.035322414,Good,310,358
input_3_F2_Trial15_22C_20240130_133645.txt,101.2124407,0.110249555,0.012249951,Good,310,358
input_3_F2_Trial15_22C_20240130_134645.txt,32.89173138,0.761279643,0.13672986,Good,228,286
input_3_F2_Trial15_22C_20240130_135645.txt,27.78696659,0.530021008,0.088336835,Good,344,422
input_3_F2_Trial15_22C_20240130_140645.txt,6.483983018,8.569998889,3.029952164,Good,282,364
input_3_F2_Trial15_22C_20240130_141645.txt,47.36842105,0.318801843,0.060247885,Flatline,454,490
input_3_F2_Trial15_22C_20240130_142646.txt,43.46513734,0.422073815,0.020570619,Discard,0,582.075
input_3_F2_Trial15_22C_20240130_143646.txt,43.4932689,0.457472836,0.022295862,Discard,0,582.075
input_3_F2_Trial15_22C_20240130_144646.txt,43.82343601,0.419752104,0.022566013,Discard,0,475.175
input_4_F2_Trial15_22C_20240130_111644.txt,37.17728055,0.161622384,0.03054376,Good,236,282
input_4_F2_Trial15_22C_20240130_112644.txt,36.18917066,0.11163993,0.023278535,Good,396,434
