fname,date,dev_id,file_id,sensor,freq,conf,start_time,end_time
input_2_F2_Trial2_27C_20240117_111904.txt,2024-01-17T11:19:04Z,2,111904,input,1.25,OK,51.57499980926514,65.34999990463257
input_2_F2_Trial2_27C_20240117_112904.txt,2024-01-17T11:29:04Z,2,112904,input,1.38,OK,169.22499990463257,206.47499990463257
input_2_F2_Trial2_27C_20240117_113904.txt,2024-01-17T11:39:04Z,2,113904,input,1.68,OK,281.84999990463257,305.27499985694885
input_2_F2_Trial2_27C_20240117_114904.txt,2024-01-17T11:49:04Z,2,114904,input,1.89,OK,236.69999980926514,273.64999985694885
input_2_F2_Trial2_27C_20240117_115904.txt,2024-01-17T11:59:04Z,2,115904,input,1.79,OK,315.34999990463257,338.77499985694885
input_2_F2_Trial2_27C_20240117_120904.txt,2024-01-17T12:09:04Z,2,120904,input,1.52,OK,171.17499995231628,202.22499990463257
input_2_F2_Trial2_27C_20240117_121904.txt,2024-01-17T12:19:04Z,2,121904,input,0.91,OK,130,158.97499990463257
input_2_F2_Trial2_27C_20240117_122904.txt,2024-01-17T12:29:04Z,2,122904,input,0.36,OK,325.32499980926514,363.125
input_2_F2_Trial2_27C_20240117_123904.txt,2024-01-17T12:39:04Z,2,123904,input,0.27,Flatline,282.47499990463257,334.5499999523163
input_2_F2_Trial2_27C_20240117_124905.txt,2024-01-17T12:49:05Z,2,124905,input,0.33,Discard,0,582.0749998092651
input_2_F2_Trial2_27C_20240117_125905.txt,2024-01-17T12:59:05Z,2,125905,input,0.32,Discard,0,443.97499990463257
input_3_F2_Trial2_27C_20240117_101903.txt,2024-01-17T10:19:03Z,3,101903,input,0.95,OK,306.77499985694885,328.4249999523163
input_3_F2_Trial2_27C_20240117_102903.txt,2024-01-17T10:29:03Z,3,102903,input,1.07,OK,408.72499990463257,433.39999985694885
input_3_F2_Trial2_27C_20240117_103903.txt,2024-01-17T10:39:03Z,3,103903,input,1.19,OK,119.64999985694885,148.79999995231628
input_3_F2_Trial2_27C_20240117_104903.txt,2024-01-17T10:49:03Z,3,104903,input,1.02,OK,176.32499980926514,211.32499980926514
input_3_F2_Trial2_27C_20240117_105903.txt,2024-01-17T10:59:03Z,3,105903,input,1.22,OK,141.75,170.04999995231628
input_3_F2_Trial2_27C_20240117_110904.txt,2024-01-17T11:09:04Z,3,110904,input,1.16,OK,205.92499995231628,231.32499980926514
input_3_F2_Trial2_27C_20240117_111904.txt,2024-01-17T11:19:04Z,3,111904,input,1,OK,337.5499999523163,377.2999999523163
input_3_F2_Trial2_27C_20240117_112904.txt,2024-01-17T11:29:04Z,3,112904,input,1.3,OK,229.97499990463257,269.84999990463257
input_3_F2_Trial2_27C_20240117_113904.txt,2024-01-17T11:39:04Z,3,113904,input,1.2,OK,171.75,190.14999985694885
input_3_F2_Trial2_27C_20240117_114904.txt,2024-01-17T11:49:04Z,3,114904,input,1.35,OK,424.875,458.875
input_3_F2_Trial2_27C_20240117_115904.txt,2024-01-17T11:59:04Z,3,115904,input,1.29,OK,74.17499995231628,103.875
input_3_F2_Trial2_27C_20240117_120904.txt,2024-01-17T12:09:04Z,3,120904,input,1.4,OK,382.77499985694885,414.14999985694885
input_3_F2_Trial2_27C_20240117_121904.txt,2024-01-17T12:19:04Z,3,121904,input,0.86,OK,197.27499985694885,230.32499980926514
input_3_F2_Trial2_27C_20240117_122904.txt,2024-01-17T12:29:04Z,3,122904,input,0.42,OK,182.09999990463257,227.84999990463257
input_3_F2_Trial2_27C_20240117_123904.txt,2024-01-17T12:39:04Z,3,123904,input,1.33,Flatline,369.5,430.57499980926514
input_3_F2_Trial2_27C_20240117_124905.txt,2024-01-17T12:49:05Z,3,124905,input,1.3,Discard,369.5,430.57499980926514
input_3_F2_Trial2_27C_20240117_125905.txt,2024-01-17T12:59:05Z,3,125905,input,1.29,Discard,369.5,430.57499980926514
input_4_F2_Trial2_27C_20240117_101903.txt,2024-01-17T10:19:03Z,4,101903,input,1.23,OK,113.94999980926514,129.84999990463257
input_4_F2_Trial2_27C_20240117_102903.txt,2024-01-17T10:29:03Z,4,102903,input,0.97,OK,417.52499985694885,445.125
input_4_F2_Trial2_27C_20240117_103903.txt,2024-01-17T10:39:03Z,4,103903,input,0.89,OK,374.39999985694885,390.69999980926514
input_4_F2_Trial2_27C_20240117_104903.txt,2024-01-17T10:49:03Z,4,104903,input,0.96,OK,225.32499980926514,236.625
input_4_F2_Trial2_27C_20240117_105903.txt,2024-01-17T10:59:03Z,4,105903,input,0.98,OK,189.75,217.77499985694885
input_4_F2_Trial2_27C_20240117_110904.txt,2024-01-17T11:09:04Z,4,110904,input,0.99,OK,230.34999990463257,248.75
input_4_F2_Trial2_27C_20240117_111904.txt,2024-01-17T11:19:04Z,4,111904,input,1.15,OK,198.52499985694885,221.125
input_4_F2_Trial2_27C_20240117_112904.txt,2024-01-17T11:29:04Z,4,112904,input,1.25,OK,309.5,322.02499985694885
input_4_F2_Trial2_27C_20240117_113904.txt,2024-01-17T11:39:04Z,4,113904,input,1.39,OK,219.89999985694885,231.59999990463257
input_4_F2_Trial2_27C_20240117_114904.txt,2024-01-17T11:49:04Z,4,114904,input,1.07,Low,50.299999952316284,69.97499990463257
input_4_F2_Trial2_27C_20240117_115904.txt,2024-01-17T11:59:04Z,4,115904,input,1.66,OK,50.299999952316284,69.97499990463257
input_4_F2_Trial2_27C_20240117_120904.txt,2024-01-17T12:09:04Z,4,120904,input,1.34,OK,318.69999980926514,344.22499990463257
input_4_F2_Trial2_27C_20240117_121904.txt,2024-01-17T12:19:04Z,4,121904,input,0.75,Low,61.19999980926514,86.29999995231628
input_4_F2_Trial2_27C_20240117_122904.txt,2024-01-17T12:29:04Z,4,122904,input,0.54,Low,127.47499990463257,171.97499990463257
input_4_F2_Trial2_27C_20240117_123904.txt,2024-01-17T12:39:04Z,4,123904,input,0.55,Flatline,196.79999995231628,277
input_4_F2_Trial2_27C_20240117_124905.txt,2024-01-17T12:49:05Z,4,124905,input,0.54,Discard,0,582.0749998092651
input_4_F2_Trial2_27C_20240117_125905.txt,2024-01-17T12:59:05Z,4,125905,input,0.54,Discard,0,443.97499990463257
input_5_F2_Trial2_27C_20240117_101903.txt,2024-01-17T10:19:03Z,5,101903,input,1.09,OK,294,319.94999980926514
input_5_F2_Trial2_27C_20240117_102903.txt,2024-01-17T10:29:03Z,5,102903,input,1.25,OK,214.44999980926514,237.875
input_5_F2_Trial2_27C_20240117_103903.txt,2024-01-17T10:39:03Z,5,103903,input,1.12,OK,224.92499995231628,245
input_5_F2_Trial2_27C_20240117_104903.txt,2024-01-17T10:49:03Z,5,104903,input,1.16,OK,368.94999980926514,394.0499999523163
input_5_F2_Trial2_27C_20240117_105903.txt,2024-01-17T10:59:03Z,5,105903,input,1.19,OK,283.94999980926514,304.02499985694885
input_5_F2_Trial2_27C_20240117_110904.txt,2024-01-17T11:09:04Z,5,110904,input,1.15,OK,466.09999990463257,495.375
input_5_F2_Trial2_27C_20240117_111904.txt,2024-01-17T11:19:04Z,5,111904,input,1.26,OK,356.4249999523163,381.1749999523163
input_5_F2_Trial2_27C_20240117_112904.txt,2024-01-17T11:29:04Z,5,112904,input,1.25,OK,283.125,311.57499980926514
input_5_F2_Trial2_27C_20240117_113904.txt,2024-01-17T11:39:04Z,5,113904,input,1.01,OK,198.52499985694885,221.94999980926514
input_5_F2_Trial2_27C_20240117_114904.txt,2024-01-17T11:49:04Z,5,114904,input,1.13,OK,212.77499985694885,245.39999985694885
input_5_F2_Trial2_27C_20240117_115904.txt,2024-01-17T11:59:04Z,5,115904,input,1.28,OK,253.79999995231628,289.7999999523163
input_5_F2_Trial2_27C_20240117_120904.txt,2024-01-17T12:09:04Z,5,120904,input,0.76,OK,261.34999990463257,279.32499980926514
input_5_F2_Trial2_27C_20240117_121904.txt,2024-01-17T12:19:04Z,5,121904,input,1.13,Flatline,200.625,268.84999990463257
input_5_F2_Trial2_27C_20240117_122904.txt,2024-01-17T12:29:04Z,5,122904,input,1.21,Discard,0,582.0749998092651
input_5_F2_Trial2_27C_20240117_123904.txt,2024-01-17T12:39:04Z,5,123904,input,1.26,Discard,0,582.0749998092651
input_5_F2_Trial2_27C_20240117_124905.txt,2024-01-17T12:49:05Z,5,124905,input,1.29,Discard,0,582.0749998092651
input_5_F2_Trial2_27C_20240117_125905.txt,2024-01-17T12:59:05Z,5,125905,input,1.29,Discard,0,443.97499990463257
