"","Input 0 Last (C)","Input 1 Last (C)","Input 2 Last (C)","Input 3 Last (C)","Input 4 Last (C)","Input 5 Last (C)"
"2024-01-30T06:58:38-05:00","22.142","22.224","22.099","21.869","21.913","22.011"
"2024-01-30T06:59:38-05:00","22.150","22.240","22.114","21.880","21.917","22.021"
"2024-01-30T07:00:38-05:00","22.158","22.251","22.124","21.887","21.911","22.030"
"2024-01-30T07:01:38-05:00","22.179","22.275","22.143","21.900","21.921","22.050"
"2024-01-30T07:02:38-05:00","22.188","22.285","22.154","21.907","21.918","22.061"
"2024-01-30T07:03:38-05:00","22.215","22.301","22.174","21.924","21.928","22.081"
"2024-01-30T07:04:38-05:00","22.232","22.310","22.203","21.929","21.936","22.096"
"2024-01-30T07:05:38-05:00","22.290","22.361","22.276","21.974","21.993","22.168"
"2024-01-30T07:06:38-05:00","22.354","22.421","22.358","22.019","22.062","22.248"
"2024-01-30T07:07:38-05:00","22.427","22.476","22.434","22.087","22.137","22.327"
"2024-01-30T07:08:38-05:00","22.507","22.543","22.529","22.136","22.219","22.414"
"2024-01-30T07:09:38-05:00","22.590","22.617","22.623","22.214","22.305","22.504"
"2024-01-30T07:10:38-05:00","22.690","22.717","22.724","22.307","22.407","22.609"
"2024-01-30T07:11:38-05:00","22.785","22.812","22.813","22.396","22.501","22.713"
"2024-01-30T07:12:38-05:00","22.881","22.901","22.908","22.495","22.595","22.804"
"2024-01-30T07:13:38-05:00","22.980","22.990","22.996","22.582","22.694","22.911"
"2024-01-30T07:14:38-05:00","23.075","23.081","23.077","22.674","22.786","23.006"
"2024-01-30T07:15:38-05:00","23.178","23.179","23.189","22.768","22.883","23.102"
"2024-01-30T07:16:38-05:00","23.297","23.280","23.271","22.875","22.987","23.209"
"2024-01-30T07:17:38-05:00","23.398","23.373","23.364","22.964","23.085","23.301"
"2024-01-30T07:18:38-05:00","23.493","23.468","23.482","23.063","23.185","23.399"
"2024-01-30T07:19:38-05:00","23.595","23.574","23.585","23.174","23.291","23.500"
"2024-01-30T07:20:38-05:00","23.687","23.670","23.694","23.251","23.387","23.595"
"2024-01-30T07:21:38-05:00","23.770","23.772","23.811","23.362","23.489","23.696"
"2024-01-30T07:22:38-05:00","23.858","23.878","23.926","23.471","23.597","23.801"
"2024-01-30T07:23:38-05:00","23.964","23.974","24.027","23.559","23.696","23.897"
"2024-01-30T07:24:38-05:00","24.069","24.081","24.135","23.662","23.802","23.999"
"2024-01-30T07:25:38-05:00","24.154","24.175","24.236","23.768","23.898","24.093"
"2024-01-30T07:26:38-05:00","24.263","24.281","24.347","23.880","24.007","24.205"
"2024-01-30T07:27:38-05:00","24.367","24.383","24.442","23.975","24.102","24.308"
"2024-01-30T07:28:38-05:00","24.475","24.483","24.547","24.081","24.198","24.413"
"2024-01-30T07:29:38-05:00","24.556","24.585","24.647","24.177","24.291","24.508"
"2024-01-30T07:30:38-05:00","24.660","24.689","24.751","24.273","24.395","24.617"
"2024-01-30T07:31:38-05:00","24.774","24.785","24.851","24.369","24.495","24.717"
"2024-01-30T07:32:38-05:00","24.888","24.886","24.953","24.478","24.596","24.820"
"2024-01-30T07:33:38-05:00","25.004","24.996","25.067","24.594","24.706","24.934"
"2024-01-30T07:34:38-05:00","25.122","25.105","25.173","24.701","24.811","25.044"
"2024-01-30T07:35:38-05:00","25.203","25.197","25.262","24.802","24.906","25.138"
"2024-01-30T07:36:38-05:00","25.307","25.302","25.363","24.903","25.012","25.238"
"2024-01-30T07:37:38-05:00","25.427","25.417","25.473","25.026","25.121","25.350"
"2024-01-30T07:38:38-05:00","25.522","25.521","25.574","25.107","25.220","25.447"
"2024-01-30T07:39:38-05:00","25.609","25.615","25.673","25.220","25.316","25.538"
"2024-01-30T07:40:38-05:00","25.705","25.715","25.770","25.319","25.409","25.634"
"2024-01-30T07:41:38-05:00","25.809","25.814","25.876","25.410","25.505","25.734"
"2024-01-30T07:42:38-05:00","25.908","25.906","25.975","25.509","25.597","25.829"
"2024-01-30T07:43:38-05:00","26.016","26.008","26.082","25.600","25.695","25.935"
"2024-01-30T07:44:38-05:00","26.103","26.107","26.183","25.705","25.786","26.027"
"2024-01-30T07:45:38-05:00","26.201","26.204","26.278","25.799","25.879","26.124"
"2024-01-30T07:46:38-05:00","26.327","26.315","26.390","25.899","25.983","26.235"
"2024-01-30T07:47:38-05:00","26.419","26.413","26.488","26.027","26.082","26.336"
"2024-01-30T07:48:38-05:00","26.517","26.510","26.583","26.108","26.176","26.436"
"2024-01-30T07:49:38-05:00","26.627","26.608","26.679","26.191","26.272","26.533"
"2024-01-30T07:50:38-05:00","26.744","26.715","26.781","26.307","26.372","26.635"
"2024-01-30T07:51:38-05:00","26.844","26.818","26.886","26.417","26.474","26.732"
"2024-01-30T07:52:38-05:00","26.949","26.927","26.991","26.514","26.576","26.832"
"2024-01-30T07:53:38-05:00","27.041","27.028","27.087","26.600","26.670","26.928"
"2024-01-30T07:54:38-05:00","27.138","27.122","27.179","26.699","26.761","27.020"
"2024-01-30T07:55:38-05:00","27.255","27.229","27.285","26.809","26.865","27.130"
"2024-01-30T07:56:38-05:00","27.356","27.329","27.387","26.911","26.963","27.232"
"2024-01-30T07:57:38-05:00","27.451","27.432","27.485","27.017","27.070","27.345"
"2024-01-30T07:58:38-05:00","27.567","27.543","27.579","27.133","27.173","27.452"
"2024-01-30T07:59:38-05:00","27.673","27.648","27.675","27.238","27.275","27.551"
"2024-01-30T08:00:38-05:00","27.786","27.760","27.786","27.355","27.382","27.661"
"2024-01-30T08:01:38-05:00","27.887","27.861","27.890","27.449","27.483","27.757"
"2024-01-30T08:02:38-05:00","27.986","27.960","27.991","27.547","27.578","27.857"
"2024-01-30T08:03:38-05:00","28.078","28.048","28.083","27.650","27.672","27.951"
"2024-01-30T08:04:38-05:00","28.170","28.150","28.190","27.747","27.772","28.052"
"2024-01-30T08:05:38-05:00","28.285","28.247","28.298","27.827","27.869","28.147"
"2024-01-30T08:06:38-05:00","28.371","28.342","28.378","27.926","27.963","28.249"
"2024-01-30T08:07:38-05:00","28.470","28.442","28.467","28.025","28.061","28.354"
"2024-01-30T08:08:38-05:00","28.575","28.541","28.568","28.120","28.160","28.456"
"2024-01-30T08:09:38-05:00","28.696","28.647","28.677","28.229","28.265","28.563"
"2024-01-30T08:10:38-05:00","28.783","28.742","28.782","28.331","28.365","28.664"
"2024-01-30T08:11:38-05:00","28.886","28.842","28.883","28.427","28.459","28.757"
"2024-01-30T08:12:38-05:00","28.977","28.940","28.987","28.539","28.557","28.856"
"2024-01-30T08:13:38-05:00","29.074","29.038","29.088","28.626","28.657","28.948"
"2024-01-30T08:14:38-05:00","29.168","29.129","29.183","28.731","28.748","29.038"
"2024-01-30T08:15:38-05:00","29.246","29.222","29.275","28.809","28.840","29.110"
"2024-01-30T08:16:38-05:00","29.356","29.322","29.374","28.919","28.936","29.208"
"2024-01-30T08:17:38-05:00","29.446","29.424","29.482","29.008","29.042","29.315"
"2024-01-30T08:18:38-05:00","29.562","29.520","29.577","29.112","29.135","29.424"
"2024-01-30T08:19:38-05:00","29.649","29.627","29.687","29.211","29.242","29.526"
"2024-01-30T08:20:38-05:00","29.752","29.733","29.784","29.333","29.341","29.618"
"2024-01-30T08:21:38-05:00","29.854","29.835","29.882","29.429","29.440","29.705"
"2024-01-30T08:22:38-05:00","29.970","29.942","29.992","29.536","29.548","29.818"
"2024-01-30T08:23:38-05:00","30.072","30.037","30.082","29.630","29.642","29.912"
"2024-01-30T08:24:38-05:00","30.175","30.131","30.182","29.740","29.742","30.018"
"2024-01-30T08:25:38-05:00","30.266","30.229","30.286","29.807","29.845","30.125"
"2024-01-30T08:26:38-05:00","30.357","30.330","30.382","29.916","29.946","30.234"
"2024-01-30T08:27:38-05:00","30.460","30.421","30.465","30.019","30.038","30.329"
"2024-01-30T08:28:38-05:00","30.543","30.514","30.553","30.110","30.129","30.420"
"2024-01-30T08:29:38-05:00","30.653","30.601","30.642","30.189","30.219","30.505"
"2024-01-30T08:30:38-05:00","30.748","30.691","30.735","30.296","30.316","30.581"
"2024-01-30T08:31:38-05:00","30.831","30.786","30.825","30.385","30.412","30.696"
"2024-01-30T08:32:38-05:00","30.966","30.887","30.922","30.476","30.521","30.798"
"2024-01-30T08:33:38-05:00","31.052","30.989","31.019","30.577","30.628","30.909"
"2024-01-30T08:34:38-05:00","31.153","31.081","31.104","30.659","30.719","31.012"
"2024-01-30T08:35:38-05:00","31.250","31.173","31.185","30.730","30.810","31.095"
"2024-01-30T08:36:38-05:00","31.330","31.251","31.275","30.834","30.908","31.198"
"2024-01-30T08:37:38-05:00","31.441","31.348","31.371","30.931","31.003","31.287"
"2024-01-30T08:38:38-05:00","31.513","31.455","31.469","31.043","31.100","31.384"
"2024-01-30T08:39:38-05:00","31.640","31.556","31.569","31.152","31.200","31.483"
"2024-01-30T08:40:38-05:00","31.714","31.660","31.674","31.264","31.306","31.585"
"2024-01-30T08:41:38-05:00","31.834","31.755","31.771","31.353","31.408","31.679"
"2024-01-30T08:42:38-05:00","31.922","31.847","31.862","31.447","31.500","31.776"
"2024-01-30T08:43:38-05:00","32.029","31.953","31.964","31.553","31.602","31.881"
"2024-01-30T08:44:38-05:00","32.148","32.055","32.065","31.641","31.703","31.986"
"2024-01-30T08:45:38-05:00","32.211","32.155","32.167","31.718","31.800","32.087"
"2024-01-30T08:46:38-05:00","32.344","32.268","32.276","31.848","31.912","32.204"
"2024-01-30T08:47:38-05:00","32.452","32.369","32.379","31.948","32.013","32.301"
"2024-01-30T08:48:38-05:00","32.549","32.465","32.488","32.054","32.120","32.415"
"2024-01-30T08:49:38-05:00","32.655","32.555","32.586","32.141","32.215","32.507"
"2024-01-30T08:50:38-05:00","32.755","32.662","32.686","32.236","32.320","32.607"
"2024-01-30T08:51:38-05:00","32.853","32.762","32.771","32.330","32.419","32.713"
"2024-01-30T08:52:38-05:00","32.950","32.861","32.878","32.435","32.520","32.829"
"2024-01-30T08:53:38-05:00","33.055","32.965","32.991","32.532","32.629","32.931"
"2024-01-30T08:54:38-05:00","33.161","33.077","33.100","32.649","32.732","33.030"
"2024-01-30T08:55:38-05:00","33.285","33.183","33.206","32.788","32.835","33.154"
"2024-01-30T08:56:38-05:00","33.395","33.287","33.315","32.877","32.937","33.254"
"2024-01-30T08:57:38-05:00","33.508","33.395","33.423","32.993","33.041","33.350"
"2024-01-30T08:58:38-05:00","33.606","33.499","33.531","33.065","33.142","33.440"
"2024-01-30T08:59:38-05:00","33.697","33.599","33.630","33.199","33.239","33.540"
"2024-01-30T09:00:38-05:00","33.800","33.706","33.735","33.297","33.340","33.629"
"2024-01-30T09:01:38-05:00","33.900","33.805","33.838","33.404","33.436","33.727"
"2024-01-30T09:02:38-05:00","33.980","33.899","33.933","33.503","33.527","33.810"
"2024-01-30T09:03:38-05:00","34.068","33.991","34.021","33.604","33.614","33.906"
"2024-01-30T09:04:38-05:00","34.156","34.082","34.114","33.688","33.708","34.012"
"2024-01-30T09:05:38-05:00","34.255","34.175","34.214","33.768","33.804","34.095"
"2024-01-30T09:06:38-05:00","34.355","34.272","34.307","33.873","33.903","34.201"
"2024-01-30T09:07:38-05:00","34.441","34.362","34.407","33.951","33.999","34.295"
"2024-01-30T09:08:38-05:00","34.534","34.452","34.498","34.047","34.090","34.381"
"2024-01-30T09:09:38-05:00","34.627","34.553","34.592","34.156","34.191","34.478"
"2024-01-30T09:10:38-05:00","34.736","34.660","34.677","34.256","34.297","34.595"
"2024-01-30T09:11:38-05:00","34.834","34.762","34.792","34.357","34.403","34.697"
"2024-01-30T09:12:38-05:00","34.914","34.853","34.899","34.463","34.491","34.779"
"2024-01-30T09:13:38-05:00","35.008","34.947","35.002","34.567","34.592","34.886"
"2024-01-30T09:14:38-05:00","35.107","35.035","35.100","34.659","34.683","34.976"
"2024-01-30T09:15:38-05:00","35.198","35.130","35.189","34.758","34.781","35.075"
"2024-01-30T09:16:38-05:00","35.301","35.224","35.259","34.850","34.874","35.173"
"2024-01-30T09:17:38-05:00","35.395","35.323","35.338","34.943","34.980","35.281"
"2024-01-30T09:18:38-05:00","35.503","35.429","35.437","35.071","35.082","35.387"
"2024-01-30T09:19:38-05:00","35.610","35.523","35.540","35.170","35.182","35.484"
"2024-01-30T09:20:38-05:00","35.721","35.619","35.638","35.243","35.275","35.588"
"2024-01-30T09:21:38-05:00","35.788","35.712","35.737","35.366","35.376","35.683"
"2024-01-30T09:22:38-05:00","35.861","35.812","35.830","35.441","35.469","35.766"
"2024-01-30T09:23:38-05:00","35.956","35.911","35.932","35.519","35.570","35.873"
"2024-01-30T09:24:38-05:00","36.058","36.007","36.037","35.625","35.673","35.973"
"2024-01-30T09:25:38-05:00","36.150","36.103","36.127","35.725","35.764","36.067"
"2024-01-30T09:26:38-05:00","36.257","36.196","36.232","35.813","35.872","36.174"
