file,heart_rate,sd,std_err,confidence,start,end
input_0_F2_Trial16_27C_20240130_120126.txt,50.34965035,0.098815448,0.01976309,Good,206,236
input_0_F2_Trial16_27C_20240130_121126.txt,52.46511628,0.16130144,0.023281857,Good,350,406
input_0_F2_Trial16_27C_20240130_122127.txt,56.93023256,0.09399103,0.013034211,Good,306,362
input_0_F2_Trial16_27C_20240130_123127.txt,55.89041096,0.078008295,0.010817804,Good,220,276
input_0_F2_Trial16_27C_20240130_124127.txt,55.94671741,0.079261713,0.011209299,Good,270,324
input_0_F2_Trial16_27C_20240130_125127.txt,64.68085106,0.069866616,0.009173936,Good,270,324
input_0_F2_Trial16_27C_20240130_130127.txt,61.81653864,0.089532866,0.011756241,Good,382,438
input_0_F2_Trial16_27C_20240130_131127.txt,80.44077135,0.052871322,0.006146166,Good,382,438
input_0_F2_Trial16_27C_20240130_132127.txt,81.31868132,0.041223423,0.004760071,Good,230,286
input_0_F2_Trial16_27C_20240130_133127.txt,54.16858591,0.501461512,0.070917367,Good,210,266
input_0_F2_Trial16_27C_20240130_134127.txt,45.13761468,0.366439901,0.056542904,Good,266,322
input_0_F2_Trial16_27C_20240130_135127.txt,2.523659306,2.192031022,1.2655697,Good,474,568
input_0_F2_Trial16_27C_20240130_140128.txt,7.264260768,4.123264009,1.10198866,Good,52,174
input_0_F2_Trial16_27C_20240130_141128.txt,53.96449704,0.318517256,0.041823365,Flatline,442,508
input_0_F2_Trial16_27C_20240130_142128.txt,57.02703868,0.358388107,0.015254011,Discard,0,582.075
input_0_F2_Trial16_27C_20240130_143128.txt,57.35940057,0.348899195,0.014796622,Discard,0,582.075
input_0_F2_Trial16_27C_20240130_144128.txt,54.11499436,0.408858245,0.06385293,Discard,0,45.775
input_1_F2_Trial16_27C_20240130_120126.txt,51.47928994,0.090488208,0.016520811,Good,250,286
input_1_F2_Trial16_27C_20240130_121126.txt,54.35244161,0.038682629,0.006733781,Good,250,286
input_1_F2_Trial16_27C_20240130_122127.txt,62.33766234,0.034589429,0.005686467,Good,206,242
